strategy_name,stock_code,stock_name,trade_date,buy_price,sell_price,sell_date,return_rate,profit,is_profitable,sell_tick_steps
首红断低吸1,002398.SZ,未知,2025-02-20,6.2,6.39,2025-02-24,0.0306451612903225,44251.0,True,-1
首红断低吸1,603583.SH,未知,2025-02-21,41.99,41.03,2025-02-24,-0.02286258633007861,-33984.0,False,64
首红断低吸1,603300.SH,未知,2025-02-25,9.85,10.4,2025-02-26,0.05583756345177673,81180.0,True,1376
首红断低吸1,603118.SH,未知,2025-02-26,12.52,16.09,2025-02-28,0.28514376996805113,437682.0,True,21
首红断低吸1,601113.SH,未知,2025-02-27,4.43,4.31,2025-03-03,-0.027088036117381517,-53448.0,False,-1
首红断低吸1,600206.SH,未知,2025-03-04,19.58,20.25,2025-03-06,0.03421859039836577,65660.00000000023,True,-1
首红断低吸1,603398.SH,未知,2025-03-05,17.91,18.83,2025-03-06,0.051367950865438196,101935.99999999977,True,-1
首红断低吸1,601177.SH,未知,2025-03-06,20.1,24.05,2025-03-07,0.19651741293532332,410009.99999999977,True,1824
首红断低吸1,600318.SH,未知,2025-03-07,8.78,8.51,2025-03-11,-0.03075170842824597,-76788.0,False,-1
首红断低吸1,601177.SH,未知,2025-03-10,22.46,21.16,2025-03-12,-0.05788067675868213,-140010.0,False,-1
首红断低吸1,601020.SH,未知,2025-03-11,23.57,23.9,2025-03-12,0.014000848536274852,31911.0,True,832
首红断低吸1,603326.SH,未知,2025-03-13,8.6,7.92,2025-03-17,-0.07906976744186044,-182852.0,False,-1
首红断低吸1,002927.SZ,未知,2025-03-14,16.1,19.16,2025-03-18,0.19006211180124213,404532.0,True,-1
首红断低吸1,600300.SH,未知,2025-03-18,3.64,3.47,2025-03-20,-0.04670329670329668,-118354.0,False,-1
首红断低吸1,600979.SH,未知,2025-03-21,6.41,6.81,2025-03-24,0.06240249609984391,150720.0,True,-1
首红断低吸1,601218.SH,未知,2025-03-24,3.62,3.5,2025-03-26,-0.03314917127071826,-85080.0,False,-1
首红断低吸1,000852.SZ,未知,2025-03-25,8.33,7.73,2025-03-27,-0.0720288115246098,-178740.0,False,-1
首红断低吸1,000541.SZ,未知,2025-03-26,8.15,8.19,2025-03-27,0.004907975460122595,11300.0,True,112
首红断低吸1,603015.SH,未知,2025-03-27,14.1,14.31,2025-03-28,0.014893617021276657,34461.0,True,-1
首红断低吸1,600128.SH,未知,2025-03-28,10.38,11.01,2025-03-31,0.06069364161849701,142506.0,True,-1
首红断低吸1,600239.SH,未知,2025-04-01,2.73,2.72,2025-04-02,-0.003663003663003585,-9124.0,False,832
首红断低吸1,600571.SH,未知,2025-04-02,16.74,17.67,2025-04-03,0.055555555555555754,137826.00000000047,True,-1
首红断低吸1,600506.SH,未知,2025-04-03,21.06,18.05,2025-04-08,-0.1429249762583095,-374143.0,False,0
首红断低吸1,603072.SH,未知,2025-04-10,58.7,61.18,2025-04-14,0.04224872231686536,94736.0,True,-1
首红断低吸1,000965.SZ,未知,2025-04-11,3.25,3.08,2025-04-15,-0.052307692307692284,-122417.0,False,-1
首红断低吸1,601069.SH,未知,2025-04-14,17.16,17.9,2025-04-15,0.04312354312354303,95608.0,True,1056
首红断低吸1,601002.SH,未知,2025-04-15,4.63,4.37,2025-04-17,-0.056155507559395204,-129896.0,False,-1
首红断低吸1,002570.SZ,未知,2025-04-18,6.81,6.43,2025-04-22,-0.05580029368575623,-121828.0,False,-1
首红断低吸1,002177.SZ,未知,2025-04-22,4.88,4.59,2025-04-24,-0.05942622950819673,-122525.0,False,-1
首红断低吸1,000510.SZ,未知,2025-04-23,5.54,6.61,2025-04-24,0.19314079422382677,374500.0,True,39
首红断低吸1,600278.SH,未知,2025-04-24,7.19,7.52,2025-04-25,0.04589707927677318,106194.0,True,-1
首红断低吸1,603696.SH,未知,2025-04-28,13.59,17.2,2025-04-29,0.26563649742457685,642580.0,True,80
首红断低吸1,600589.SH,未知,2025-04-30,7.0,8.09,2025-05-07,0.1557142857142857,476875.0,True,-1
首红断低吸1,603086.SH,未知,2025-05-08,9.53,9.6,2025-05-12,0.0073452256033578476,25991.000000000466,True,1744
