strategy_name,stock_code,stock_name,trade_date,buy_price,sell_price,sell_date,return_rate,profit,is_profitable,sell_tick_steps,date,daily_budget,daily_investment,daily_return,daily_ratio,daily_real_return_rate,daily_budget_return_rate,has_trade,base_budget_return,remaining_budget_return,base_budget_return_rate,remaining_budget_return_rate,base_budget,remaining_budget,trade_count
倒接力31,603788.SH,未知,2025-03-13,19.08,17.93,2025-03-14,-0.0602725366876309,-177214.99999999953,False,47,2025-03-13,434842.0,122464.0,-7712.0,0.2816287295155482,-0.017735177374770605,-0.062973608570682,True,-7712.0,0,-0.024547549379682423,0.0,314165.78008324886,120676.21991675114,2
倒接力31,600429.SH,未知,2025-03-17,4.68,4.55,2025-03-18,-0.0277777777777777,-76765.0,False,8,2025-03-17,427130.0,123009.0,-3798.9999999999927,0.28798960503827875,-0.008894247652939368,-0.030883919062832742,True,-3798.9999999999927,0,-0.012310673800547633,0.0,308593.99424838927,118536.00575161073,2
倒接力31,002048.SZ,未知,2025-03-18,18.7,18.06,2025-03-19,-0.0342245989304813,-91904.0,False,46,2025-03-18,423331.0,120000.0,-4416.000000000015,0.2834661293408704,-0.010431553559744065,-0.036800000000000124,True,-4416.000000000015,0,-0.014438484076223201,0.0,305849.28283933434,117481.71716066566,2
倒接力31,603966.SH,未知,2025-03-19,9.4,9.27,2025-03-20,-0.0138297872340426,-35880.0,False,83,2025-03-19,418915.0,119884.0,-2155.0,0.2861773868207154,-0.005144241671938221,-0.017975709852857763,True,-2155.0,0,-0.00712022912398737,0.0,302658.79966418655,116256.20033581345,2
倒接力31,600579.SH,未知,2025-03-24,9.35,8.92,2025-03-25,-0.0459893048128342,-117691.0,False,2,2025-03-24,416760.0,119424.0,-5248.0,0.286553412035704,-0.012592379307035224,-0.04394426580921758,True,-5248.0,0,-0.017429318371908104,0.0,301101.8496545752,115658.15034542477,2
倒接力31,000541.SZ,未知,2025-03-25,8.58,8.7,2025-03-26,0.0139860139860138,34140.0,True,535,2025-03-25,411512.0,118498.0,691.9999999999782,0.2879575808238885,0.001681603452633163,0.005839761008624434,True,691.9999999999782,0,0.0023275348714177123,0.0,297310.2609536749,114201.73904632509,2
倒接力31,600593.SH,未知,2025-03-27,36.5,34.98,2025-03-28,-0.0416438356164384,-103056.0,False,103,2025-03-27,412204.0,116800.0,-4864.000000000015,0.28335484371815894,-0.011799982532920628,-0.04164383561643848,True,-4864.000000000015,0,-0.016332549023068663,0.0,297810.21891499794,114393.78108500206,2
倒接力31,601069.SH,未知,2025-03-31,15.49,16.72,2025-04-01,0.0794060684312458,188313.0,True,181,2025-03-31,407340.0,115292.0,8435.999999999985,0.28303628418520155,0.020709972013551296,0.07317073170731694,True,8435.999999999985,0,0.02866501134506229,0.0,294296.0635336757,113043.93646632432,2
倒接力31,603072.SH,未知,2025-04-03,49.04,55.23,2025-04-07,0.1262234910277324,323118.0,True,387,2025-04-03,415776.0,117852.0,14700.0,0.2834507042253521,0.03535557607942738,0.1247327156094084,True,14700.0,0,0.04893623172280722,0.0,300390.92677315645,115385.07322684355,2
倒接力31,002165.SZ,未知,2025-04-07,7.3,7.13,2025-04-08,-0.0232876712328767,-67150.0,False,113,2025-04-07,430476.0,123534.0,-3037.0,0.2869707021994258,-0.007054980997779203,-0.024584324963168036,True,-3037.0,0,-0.009764914709117542,0.0,311011.42103825446,119464.57896174554,2
倒接力31,600354.SH,未知,2025-04-08,6.38,7.49,2025-04-09,0.1739811912225705,490065.0,True,113,2025-04-08,427439.0,122688.0,21120.0,0.28703043007306306,0.049410559167506946,0.17214397496087636,True,21120.0,0,0.06838996393503985,0.0,308817.2413727373,118621.75862726272,2
