date,stock_code,stock_name,strategy_name,daily_budget,daily_investment,daily_return,daily_ratio,daily_real_return_rate,daily_budget_return_rate,has_trade,base_budget_return,remaining_budget_return,base_budget_return_rate,remaining_budget_return_rate,base_budget,remaining_budget,trade_count
2024-09-06,600686.SH,未知,倒接力31,200000.0,43575.0,-2265.0,0.217875,-0.011325,-0.05197934595524957,True,-2265.0,0,-0.017063263481477787,0.0,132741.31308226372,67258.68691773628,2
2024-09-10,000516.SZ,未知,倒接力31,197735.0,43028.0,-2889.0,0.21760436948441095,-0.01461046349912762,-0.06714232592730315,True,-2889.0,0,-0.02201343825802459,0.0,131238.01771160707,66496.98228839293,2
2024-09-11,003015.SZ,未知,倒接力31,194846.0,40725.0,-615.0,0.2090112191166357,-0.003156338852221755,-0.015101289134438306,True,-615.0,0,-0.004755623971062692,0.0,129320.56944413377,65525.43055586623,2
2024-09-13,002866.SZ,未知,倒接力31,194231.0,41895.0,-2895.0,0.21569677342957613,-0.014904932786218471,-0.06910132474042248,True,-2895.0,0,-0.02245711216820862,0.0,128912.38990640582,65318.61009359418,2
2024-09-25,002466.SZ,未知,倒接力31,191336.0,39501.0,9527.000000000007,0.2064483421833842,0.04979198896182636,0.24118376749955717,True,9527.000000000007,0,0.07502108846997586,0.0,126990.95939954005,64345.04060045995,2
2024-09-27,600239.SH,未知,倒接力31,200863.0,44099.0,6651.000000000004,0.2195476518821286,0.03311212119703481,0.1508197464795121,True,6651.000000000004,0,0.049889699639349284,0.0,133314.0918482137,67548.90815178631,2
2024-09-30,002050.SZ,未知,倒接力31,207514.0,45540.0,5920.0,0.21945507291074337,0.028528195688001773,0.12999560825647782,True,5920.0,0,0.0429831452252126,0.0,137728.40421476436,69785.59578523564,2
2024-10-09,002119.SZ,未知,倒接力31,213434.0,46937.0,85.0,0.21991341585689253,0.0003982495759813338,0.0018109380659181455,True,85.0,0,0.0006000386266098284,0.0,141657.54708199936,71776.45291800064,2
2024-10-11,603052.SH,未知,倒接力31,213519.0,44856.0,-1068.0,0.21007966504151857,-0.005001896786702822,-0.023809523809523808,True,-1068.0,0,-0.007536307530125153,0.0,141713.96214005933,71805.03785994067,2
2024-10-15,000801.SZ,未知,倒接力31,212451.0,46943.0,7520.999999999996,0.2209591858828624,0.035401104254628106,0.16021558059774613,True,7520.999999999996,0,0.053338487367062586,0.0,141005.12352820003,71445.87647179997,2
2024-10-16,002630.SZ,未知,倒接力31,219972.0,48587.0,3673.0,0.2208781117596785,0.016697579691960795,0.07559635293391237,True,3673.0,0,0.02515807521297128,0.0,145996.86060665856,73975.13939334144,2
2024-10-17,000402.SZ,未知,倒接力31,223645.0,49210.0,-5530.0,0.22003621811352814,-0.02472668738402379,-0.112375533428165,True,-5530.0,0,-0.037255450936664956,0.0,148434.65482141433,75210.34517858567,2
2024-10-18,002625.SZ,未知,倒接力31,218115.0,46102.0,6454.000000000004,0.21136556403731976,0.02958989523875022,0.13999392651078052,True,6454.000000000004,0,0.04458279724928212,0.0,144764.35751468973,73350.64248531027,2
2024-10-21,600418.SH,未知,倒接力31,224569.0,47600.0,2086.0,0.21196157973718546,0.009288904523776656,0.043823529411764706,True,2086.0,0,0.013995498926577664,0.0,149047.9196878544,75521.08031214561,2
2024-10-22,600100.SH,未知,倒接力31,226655.0,48960.0,1292.0,0.21601111821932012,0.005700293397454281,0.02638888888888889,True,1292.0,0,0.008588574672184598,0.0,150432.4115833024,76222.5884166976,2
2024-10-23,601162.SH,未知,倒接力31,227947.0,49680.0,2520.0,0.21794539958850084,0.011055201428402217,0.050724637681159424,True,2520.0,0,0.016656760689945836,0.0,151289.92046581383,76657.07953418617,2
2024-10-24,000595.SZ,未知,倒接力31,230467.0,49730.0,-2200.0,0.2157792655781522,-0.009545835195494366,-0.04423889000603257,True,-2200.0,0,-0.014382613782912529,0.0,152962.46101065035,77504.53898934965,2
2024-10-25,002542.SZ,未知,倒接力31,228267.0,50220.0,36456.0,0.22000551985175254,0.15970771070719814,0.725925925925926,True,36456.0,0,0.24062999980755437,0.0,151502.30656674545,76764.69343325455,2
2024-10-28,600696.SH,未知,倒接力31,264723.0,56905.0,7998.999999999993,0.21496054366262093,0.030216490444728992,0.1405676126878129,True,7998.999999999993,0,0.0455268819376571,0.0,175698.3931153805,89024.60688461951,2
