date,code,name,return,max_return,first_return,position,codes_num
2024-08-27,,low,0.0,0.0,0.0,0.325326,0
2024-08-28,,low,0.0,0.0,0.0,0.31116,0
2024-08-29,603038,low,-0.008905852417302835,0.0,-0.008905852417302835,0.41826599999999997,1
2024-08-30,,low,0.0,0.0,0.0,0.6672359999999999,0
2024-09-02,,low,0.0,0.0,0.0,0.469144,0
2024-09-03,,low,0.0,0.0,0.0,0.428394,0
2024-09-04,002514,low,0.006880733944953981,0.006880733944953981,0.006880733944953981,0.530514,1
2024-09-05,603004,low,0.010820045558086635,0.010820045558086635,0.010820045558086635,0.3,1
2024-09-06,,low,0.0,0.0,0.0,0.3,0
2024-09-09,,low,0.0,0.0,0.0,0.31923,0
2024-09-10,"603306,002104",low,-0.05802047781569978,0.0,-0.0967144840351689,0.301968,2
2024-09-11,600550,low,0.1611295681063124,0.1611295681063124,0.1611295681063124,0.301734,1
2024-09-12,603883,low,-0.07191780821917801,0.0,-0.07191780821917801,0.3,1
2024-09-13,"600193,000506",low,-0.015151515151515164,0.0,-0.08695652173913032,0.30288,2
2024-09-18,"600193,603959",low,-0.036842105263157815,0.0,-0.009523809523809532,0.30852999999999997,2
2024-09-19,,low,0.0,0.0,0.0,0.39022999999999997,0
2024-09-20,600838,low,-0.0131964809384164,0.0,-0.0131964809384164,0.47932600000000003,1
2024-09-23,,low,0.0,0.0,0.0,0.516622,0
2024-09-24,,low,0.0,0.0,0.0,1.0,0
2024-09-25,,low,0.0,0.0,0.0,1.0,0
2024-09-26,000736,low,0.14371257485029953,0.14371257485029953,0.14371257485029953,1.0,1
2024-09-27,"600318,002425",low,0.04040404040404044,0.06400000000000006,0.06400000000000006,1.0,2
2024-09-30,000908,low,-0.04985337243401757,0.0,-0.04985337243401757,1.0,1
2024-10-08,"600165,603559,002309",low,-0.0422535211267605,0.0,-0.05339805825242723,1.0,3
2024-10-09,,low,0.0,0.0,0.0,1.0,0
2024-10-10,"603959,002197",low,-0.044155844155844136,0.0,-0.02923976608187137,1.0,2
2024-10-11,,low,0.0,0.0,0.0,1.0,0
2024-10-14,603860,low,0.01003113109650637,0.01003113109650637,0.01003113109650637,1.0,1
2024-10-15,002718,low,-0.03324808184143227,0.0,-0.03324808184143227,1.0,1
2024-10-16,,low,0.0,0.0,0.0,0.8939409999999999,0
2024-10-17,,low,0.0,0.0,0.0,0.887548,0
2024-10-18,,low,0.0,0.0,0.0,1.0,0
2024-10-21,,low,0.0,0.0,0.0,1.0,0
2024-10-22,,low,0.0,0.0,0.0,1.0,0
2024-10-23,002725,low,0.02935420743639911,0.02935420743639911,0.02935420743639911,1.0,1
2024-10-24,000670,low,0.10370370370370363,0.10370370370370363,0.10370370370370363,1.0,1
2024-10-25,,low,0.0,0.0,0.0,1.0,0
2024-10-28,000952,low,0.04804270462633444,0.04804270462633444,0.04804270462633444,1.0,1
2024-10-29,,low,0.0,0.0,0.0,1.0,0
2024-10-30,,low,0.0,0.0,0.0,1.0,0
2024-10-31,,low,0.0,0.0,0.0,1.0,0
2024-11-01,,low,0.0,0.0,0.0,1.0,0
2024-11-04,,low,0.0,0.0,0.0,0.855108,0
2024-11-05,,low,0.0,0.0,0.0,1.0,0
2024-11-06,001306,low,-0.005635339029267318,0.0,-0.005635339029267318,1.0,1
2024-11-07,,low,0.0,0.0,0.0,1.0,0
2024-11-08,,low,0.0,0.0,0.0,1.0,0
2024-11-11,,low,0.0,0.0,0.0,1.0,0
2024-11-12,,low,0.0,0.0,0.0,1.0,0
2024-11-13,000040,low,0.0,0.0,0.0,1.0,1
2024-11-14,,low,0.0,0.0,0.0,0.674136,0
2024-11-15,,low,0.0,0.0,0.0,0.583584,0
2024-11-18,,low,0.0,0.0,0.0,0.473138,0
2024-11-19,001296,low,0.07774647887323938,0.07774647887323938,0.07774647887323938,0.555023,1
2024-11-20,,low,0.0,0.0,0.0,0.77691200042,0
2024-11-21,,low,0.0,0.0,0.0,1.0,0
2024-11-22,603389,low,-0.0812324929971989,0.0,-0.0812324929971989,0.567643,1
2024-11-25,,low,0.0,0.0,0.0,1.0,0
2024-11-26,,low,0.0,0.0,0.0,0.547422,0
2024-11-27,,low,0.0,0.0,0.0,0.512942,0
2024-11-28,,low,0.0,0.0,0.0,0.48960899999999996,0
2024-11-29,001259,low,0.04895738893925666,0.04895738893925666,0.04895738893925666,1.0,1
2024-12-02,,low,0.0,0.0,0.0,1.0,0
2024-12-03,,low,0.0,0.0,0.0,1.0,0
2024-12-04,,low,0.0,0.0,0.0,0.9828979999999998,0
2024-12-05,,low,0.0,0.0,0.0,1.0,0
2024-12-06,,low,0.0,0.0,0.0,1.0,0
2024-12-09,,low,0.0,0.0,0.0,0.818765,0
2024-12-10,,low,0.0,0.0,0.0,0.943595,0
2024-12-11,,low,0.0,0.0,0.0,1.0,0
2024-12-12,,low,0.0,0.0,0.0,1.0,0
2024-12-13,,low,0.0,0.0,0.0,1.0,0
2024-12-16,603137,low,0.006956521739130441,0.006956521739130441,0.006956521739130441,1.0,1
2024-12-17,,low,0.0,0.0,0.0,0.524917,0
2024-12-18,,low,0.0,0.0,0.0,0.479844,0
2024-12-19,,low,0.0,0.0,0.0,0.40749199999999997,0
2024-12-20,,low,0.0,0.0,0.0,0.525307,0
2024-12-23,,low,0.0,0.0,0.0,0.354726,0
2024-12-24,,low,0.0,0.0,0.0,0.492572,0
2024-12-25,,low,0.0,0.0,0.0,0.322407,0
2024-12-26,603350,low,0.07476897227667324,0.07476897227667324,0.07476897227667324,0.39346099999999995,1
