strategy_name,stock_code,stock_name,trade_date,buy_price,sell_price,sell_date,return_rate,profit,is_profitable,sell_tick_steps,date,daily_budget,daily_investment,daily_return,daily_ratio,daily_real_return_rate,daily_budget_return_rate,has_trade,base_budget_return,remaining_budget_return,base_budget_return_rate,remaining_budget_return_rate,base_budget,remaining_budget,trade_count
倒接力31,600686.SH,未知,2024-09-06,14.46,13.77,2024-09-09,-0.0477178423236515,-9522.0,False,12,2024-09-06,200000.0,63032.0,-3821.0,0.31516,-0.019105,-0.0606200025383932,True,-3821.0,0.0,-0.05796340106459218,0.0,65920.90750061448,134079.09249938553,5
倒接力31,000516.SZ,未知,2024-09-10,4.78,4.51,2024-09-11,-0.0564853556485356,-10746.0,False,228,2024-09-10,196179.0,63348.0,-3815.999999999998,0.3229091798816387,-0.01945162326242869,-0.06023868156847885,True,-3815.999999999998,0.0,-0.0590150348347294,0.0,64661.48856281524,131517.51143718476,5
倒接力31,003015.SZ,未知,2024-09-11,13.55,13.37,2024-09-12,-0.0132841328413285,-2376.0,False,30,2024-09-11,192363.0,60976.0,-2148.0,0.31698403539142145,-0.011166388546653982,-0.0352269745473629,True,-2148.0,0.0,-0.033878139637412895,0.0,63403.71764770352,128959.28235229649,5
倒接力31,002866.SZ,未知,2024-09-13,13.97,13.0,2024-09-18,-0.0694345025053686,-12222.0,False,6,2024-09-13,190215.0,59541.0,-3641.0,0.31301947795915147,-0.01914149777882922,-0.0611511395508977,True,-3641.0,0.0,-0.05807413309245111,0.0,62695.72710114691,127519.27289885309,5
倒接力31,002466.SZ,未知,2024-09-25,28.11,35.02,2024-09-30,0.2458199928850944,40078.00000000003,True,151,2024-09-25,186574.0,56808.0,13232.00000000001,0.30447972386291766,0.07092092145743785,0.23292494014927492,True,13232.00000000001,0.0,0.21516973642019951,0.0,61495.63698009823,125078.36301990176,5
倒接力31,600239.SH,未知,2024-09-27,2.5,2.9,2024-09-30,0.1599999999999999,32800.0,True,170,2024-09-27,199806.0,65564.0,8386.000000000004,0.328138294145321,0.04197071159024255,0.12790555792813135,True,8386.000000000004,0.0,0.1273365709956324,0.0,65856.96422033888,133949.03577966112,5
倒接力31,002050.SZ,未知,2024-09-30,22.76,25.73,2024-10-08,0.1304920913884006,30887.99999999997,True,132,2024-09-30,208192.0,66057.0,8559.999999999998,0.3172888487549954,0.041115893021826,0.12958505533100198,True,8559.999999999998,0.0,0.12474310376095092,0.0,68621.02787183964,139570.97212816036,5
倒接力31,002119.SZ,未知,2024-10-09,13.85,13.83,2024-10-10,-0.0014440433212996,-388.0,False,48,2024-10-09,216752.0,68476.0,674.0,0.3159186535764376,0.003109544548608548,0.009842864653309188,True,674.0,0.0,0.009434167903648968,0.0,71442.44271286594,145309.55728713406,4
倒接力31,603052.SH,未知,2024-10-11,37.2,36.49,2024-10-14,-0.0190860215053763,-5112.0,False,151,2024-10-11,217426.0,93397.0,1477.0,0.429557642600241,0.006793115818715333,0.0158142124479373,True,-657.0,2134.0,-0.00916770672133575,0.014640363936845695,71664.59617114301,145761.403828857,6
倒接力31,000801.SZ,未知,2024-10-15,10.18,11.84,2024-10-17,0.1630648330058939,42828.0,True,903,2024-10-15,218903.0,69740.0,10772.0,0.31858859860303423,0.04920901038359456,0.1544594207054775,True,10772.0,0.0,0.1492971266608727,0.0,72151.42207303505,146751.57792696496,5
