date,stock_code,stock_name,strategy_name,daily_budget,daily_investment,daily_return,daily_ratio,daily_real_return_rate,daily_budget_return_rate,has_trade,base_budget_return,remaining_budget_return,base_budget_return_rate,remaining_budget_return_rate,base_budget,remaining_budget,trade_count
2024-09-06,002805.SZ,未知,首红断低吸1,200000.0,98970.0,-3049.999999999999,0.49485,-0.015249999999999996,-0.030817419420026262,True,-2543.999999999999,-506.0,-0.03164500743854304,-0.004230480177062351,80391.82815616766,119608.17184383234,18
2024-09-09,600686.SH,未知,首红断低吸1,196950.0,116639.0,-7255.0,0.5922264534145723,-0.036836760599136834,-0.0622004646816245,True,-5245.0,-2010.0,-0.0662533127103255,-0.01706511485107439,79165.8527767861,117784.1472232139,5
2024-09-10,002823.SZ,未知,首红断低吸1,189695.0,64391.0,-267.0,0.33944489838952,-0.0014075226020717467,-0.004146542218633038,True,-267.0,0.0,-0.0035016559129306523,0.0,76249.63921042111,113445.36078957889,11
2024-09-19,600272.SH,未知,首红断低吸1,189428.0,83952.0,-3144.000000000001,0.44318685727558754,-0.016597335135249282,-0.03744997141223557,True,-2394.000000000001,-750.0,-0.03144112396360952,-0.006620430528480047,76142.31611983263,113285.68388016737,11
2024-09-20,603607.SH,未知,首红断低吸1,186284.0,62768.0,3232.0,0.336947886023491,0.017349852912756866,0.05149120570991588,True,3232.0,0.0,0.04316322519511154,0.0,74878.55658121768,111405.44341878232,11
2024-09-23,000815.SZ,未知,首红断低吸1,189516.0,72200.0,2512.0,0.3809704721501087,0.013254817535194918,0.03479224376731302,True,2512.0,0.0,0.032975534551711795,0.0,76177.68852422135,113338.31147577865,11
2024-09-25,002549.SZ,未知,首红断低吸1,192028.0,75064.0,561.0,0.3909013268898286,0.0029214489553606765,0.007473622508792497,True,561.0,0.0,0.007268024679537141,0.0,77187.40988586281,114840.59011413719,11
2024-10-16,002130.SZ,未知,首红断低吸1,192589.0,97037.0,7182.999999999997,0.5038553603788378,0.03729704188712749,0.07402331069592008,True,2244.000000000001,4938.999999999996,0.028987413469349934,0.04288216378561949,77412.90896384086,115176.09103615914,10
2024-10-21,002094.SZ,未知,首红断低吸1,199772.0,79836.0,33594.00000000001,0.3996355845664057,0.168161704342951,0.4207876146099505,True,33594.00000000001,0.0,0.4183552189316636,0.0,80300.18147206963,119471.81852793037,4
2024-10-28,600171.SH,未知,首红断低吸1,233366.0,66390.0,13578.0,0.2844887430045508,0.05818328291182091,0.20451875282422052,True,13578.0,0.0,0.1447492468980682,0.0,93803.5968474611,139562.4031525389,8
2024-10-30,000158.SZ,未知,首红断低吸1,246944.0,49982.0,5666.0,0.20240216405338862,0.022944473240896723,0.11336080989156096,True,5666.0,0.0,0.05708160584761232,0.0,99261.39806098332,147682.60193901666,8
2024-11-07,002565.SZ,未知,首红断低吸1,252610.0,99030.0,1457.0,0.3920272356597126,0.005767784331578323,0.014712713319196203,True,1457.0,0.0,0.014349180666407866,0.0,101538.89855264756,151071.10144735244,11
2024-11-08,603336.SH,未知,首红断低吸1,254067.0,124620.0,-8230.0,0.49050053725985665,-0.03239303018495121,-0.06604076392232386,True,-5322.0,-2908.0,-0.05211283518585256,-0.019138825639667515,102124.55302076523,151942.44697923475,10
2024-11-12,603068.SH,未知,首红断低吸1,245837.0,89865.0,6345.0,0.3655470901450961,0.02580978453202732,0.07060590886329494,True,5450.0,895.0,0.05515277205461176,0.006087583497267334,98816.42929213894,147020.57070786104,14
2024-11-14,600787.SH,未知,首红断低吸1,252182.0,141955.0,34705.0,0.5629069481564901,0.13761886256751077,0.24447888415342892,True,18267.0,16438.0,0.18020682492010548,0.10899436226629931,101366.86004039335,150815.13995960663,24
2024-11-19,002403.SZ,未知,首红断低吸1,286887.0,157356.0,53876.000000000015,0.5484947034895272,0.1877951946236672,0.34238287704313797,True,19140.0,34736.000000000015,0.16597747566402998,0.20245946284484528,115316.85202119235,171570.14797880765,7
2024-11-20,600327.SH,未知,首红断低吸1,340763.0,141281.0,27875.999999999993,0.41460193741691437,0.08180465602192724,0.19730890919515004,True,26435.999999999993,1440.0,0.19300181846939135,0.00706609061185024,136972.8026899008,203790.1973100992,14
2024-11-21,603110.SH,未知,首红断低吸1,368639.0,133293.0,3363.000000000002,0.36158138449811333,0.009122746101199281,0.02523013211496479,True,3363.000000000002,0.0,0.022695705049716262,0.0,148177.81569830744,220461.18430169256,10
2024-11-22,600345.SH,未知,首红断低吸1,372002.0,248488.0,1752.0,0.6679749033607346,0.004709652098644631,0.007050642284536879,True,476.0,1276.0,0.003183316121674519,0.00573554303634217,149529.6042887534,222472.3957112466,6
2024-11-25,603138.SH,未知,首红断低吸1,373754.0,231567.0,-18387.00000000003,0.6195706266688784,-0.0491954601154771,-0.07940250553835404,True,-9324.000000000013,-9063.000000000016,-0.062063248896504476,-0.04054667760766589,150233.83670340144,223520.16329659856,13
2024-11-27,600119.SH,未知,首红断低吸1,355367.0,181798.0,6162.0,0.511578171298967,0.017339820523571407,0.033894762318617364,True,4429.0,1732.9999999999998,0.031006066565931755,0.00815437368962256,142843.01398186415,212523.98601813585,7
2024-11-28,002582.SZ,未知,首红断低吸1,361529.0,159743.0,23159.000000000015,0.44185390383620676,0.06405848493481854,0.14497661869377698,True,16545.000000000015,6614.0,0.1138522774260372,0.030590754866805323,145319.88620735568,216209.11379264432,12
2024-12-02,001228.SZ,未知,首红断低吸1,384688.0,135910.0,-2810.0,0.3532992970927089,-0.007304620887576426,-0.020675446986976674,True,-2810.0,0.0,-0.01817254578011737,0.0,154628.85794869912,230059.14205130088,11
2024-12-03,002154.SZ,未知,首红断低吸1,381878.0,232879.0,-9097.0,0.609825651124181,-0.023821744117231158,-0.03906320449675583,True,-5616.0,-3481.0,-0.036586473486094465,-0.015242230576789393,153499.35276310495,228378.64723689505,20
2024-12-04,000759.SZ,未知,首红断低吸1,372781.0,147347.0,33721.0,0.39526424361756635,0.0904579364291635,0.2288543370411342,True,33721.0,0.0,0.22504261565850106,0.0,149842.73045942167,222938.26954057833,11
2024-12-06,002598.SZ,未知,首红断低吸1,406502.0,223567.0,3341.000000000015,0.5499776138862785,0.008218901752020938,0.014944065984693694,True,1000.0000000000109,2341.000000000004,0.0061200561133769385,0.009629591634719709,163397.19464569233,243104.80535430767,18
2024-12-09,603662.SH,未知,首红断低吸1,409843.0,26120.0,6680.000000000002,0.06373172165926952,0.016298924222202166,0.25574272588055136,True,6680.000000000002,0.0,0.040548708982062656,0.0,164740.1401350411,245102.8598649589,2
2024-12-10,603516.SH,未知,首红断低吸1,416523.0,161719.0,-271.0,0.3882594718658994,-0.0006506243352708014,-0.001675746201745002,True,-1106.0,835.0,-0.006605933995292259,0.003352097413794186,167425.2271954571,249097.7728045429,15
2024-12-12,002269.SZ,未知,首红断低吸1,416252.0,212746.0,31458.999999999993,0.5110990457703507,0.0755768140453379,0.1478711703157756,True,16676.000000000007,14782.999999999985,0.09966751817921349,0.05938481213580056,167316.29626830548,248935.70373169452,10
2024-12-17,000610.SZ,未知,首红断低吸1,447711.0,283202.0,-7406.0,0.6325553761243302,-0.01654192101601256,-0.026150945261686005,True,-6496.0,-910.0,-0.03609660376023532,-0.0033986995238014872,179961.52887812987,267749.4711218701,14
