股票代码,股票名称,交易日期,买入价格,卖出价格,收益率,收益金额,是否盈利
603004.SH,,2024-09-03,19.44,21.30,9.57%,18972.00,是
603920.SH,,2024-09-06,22.72,21.45,-5.59%,-12192.00,否
002952.SZ,,2024-09-10,22.19,20.87,-5.95%,-12276.00,否
003015.SZ,,2024-09-11,13.55,12.75,-5.90%,-11440.00,否
002866.SZ,,2024-09-13,13.97,12.75,-8.73%,-15982.00,否
002129.SZ,,2024-09-25,8.44,8.79,4.15%,6895.00,是
603345.SH,,2024-09-27,86.77,97.62,12.50%,21700.00,是
002050.SZ,,2024-09-30,22.76,26.20,15.11%,29240.00,是
002119.SZ,,2024-10-09,13.85,13.68,-1.23%,-2754.00,否
603052.SH,,2024-10-11,37.20,37.00,-0.54%,-1180.00,否
000801.SZ,,2024-10-15,10.18,10.63,4.42%,9765.00,是
002630.SZ,,2024-10-16,3.08,3.31,7.47%,17227.00,是
000736.SZ,,2024-10-17,11.61,10.74,-7.49%,-18531.00,否
600990.SH,,2024-10-18,26.18,27.02,3.21%,7308.00,是
600418.SH,,2024-10-21,34.00,35.50,4.41%,10350.00,是
600100.SH,,2024-10-22,7.20,7.53,4.58%,11319.00,是
601162.SH,,2024-10-23,5.51,5.90,7.08%,18291.00,是
000595.SZ,,2024-10-24,10.10,9.99,-1.09%,-3003.00,否
002542.SZ,,2024-10-25,2.69,3.50,30.11%,82377.00,是
600696.SH,,2024-10-28,14.99,17.85,19.08%,67782.00,是
000701.SZ,,2024-10-30,5.35,5.29,-1.12%,-4752.00,否
600353.SH,,2024-10-31,9.68,10.18,5.17%,21600.00,是
600316.SH,,2024-11-01,38.99,36.00,-7.67%,-33787.00,否
002568.SZ,,2024-11-04,24.15,25.71,6.46%,26208.00,是
603019.SH,,2024-11-05,68.06,70.54,3.64%,15624.00,是
600316.SH,,2024-11-06,40.60,38.30,-5.67%,-25300.00,否
603489.SH,,2024-11-07,26.88,24.66,-8.26%,-34854.00,否
605218.SH,,2024-11-08,29.20,31.13,6.61%,25669.00,是
002992.SZ,,2024-11-11,65.43,73.20,11.88%,48951.00,是
603009.SH,,2024-11-12,31.52,30.24,-4.06%,-18688.00,否
000795.SZ,,2024-11-13,15.27,10.84,-29.01%,-128913.00,否
