股票代码,股票名称,交易日期,买入价格,卖出价格,收益率,收益金额,是否盈利
000997.SZ,,2025-03-07,25.65,24.40,-4.87%,-44375.00,否
605100.SH,,2025-03-11,28.80,33.37,15.87%,137557.00,是
002195.SZ,,2025-03-12,7.15,6.31,-11.75%,-118104.00,否
002851.SZ,,2025-03-13,68.80,69.00,0.29%,2560.00,是
600429.SH,,2025-03-17,4.68,4.55,-2.78%,-24713.00,否
002048.SZ,,2025-03-18,18.70,18.23,-2.51%,-21714.00,否
603966.SH,,2025-03-19,9.40,9.43,0.32%,2691.00,是
600579.SH,,2025-03-24,9.35,9.99,6.84%,57920.00,是
000541.SZ,,2025-03-25,8.58,8.98,4.66%,42120.00,是
600593.SH,,2025-03-27,36.50,36.65,0.41%,3885.00,是
601069.SH,,2025-03-31,15.49,17.50,12.98%,123213.00,是
603072.SH,,2025-04-03,49.04,56.55,15.31%,163718.00,是
002165.SZ,,2025-04-07,7.30,7.13,-2.33%,-28798.00,否
600354.SH,,2025-04-08,6.38,7.69,20.53%,247983.00,是
000716.SZ,,2025-04-09,6.43,6.84,6.38%,92824.00,是
603069.SH,,2025-04-10,18.41,19.59,6.41%,99238.00,是
002685.SZ,,2025-04-14,6.44,6.66,3.42%,56298.00,是
600590.SH,,2025-04-15,10.50,9.09,-13.43%,-228843.00,否
001368.SZ,,2025-04-18,23.50,21.93,-6.68%,-98596.00,否
601010.SH,,2025-04-21,3.39,3.43,1.18%,16248.00,是
002155.SZ,,2025-04-22,26.30,23.59,-10.30%,-143359.00,否
600800.SH,,2025-04-25,3.35,3.16,-5.67%,-70889.00,否
002068.SZ,,2025-04-28,11.90,11.09,-6.81%,-80190.00,否
603986.SH,,2025-04-30,126.93,133.36,5.07%,55298.00,是
000665.SZ,,2025-05-06,5.01,5.04,0.60%,6912.00,是
603109.SH,,2025-05-07,23.54,24.12,2.46%,28594.00,是
002977.SZ,,2025-05-08,34.95,40.25,15.16%,180200.00,是
603338.SH,,2025-05-13,51.99,48.29,-7.12%,-97310.00,否
000710.SZ,,2025-05-14,13.99,13.71,-2.00%,-25452.00,否
002961.SZ,,2025-05-15,16.73,16.20,-3.17%,-39485.00,否
605188.SH,,2025-05-19,13.65,15.27,11.87%,143208.00,是
600530.SH,,2025-05-20,8.00,7.62,-4.75%,-64144.00,否
002882.SZ,,2025-05-21,19.20,23.01,19.84%,255270.00,是
002365.SZ,,2025-05-22,17.84,20.07,12.50%,192672.00,是
605033.SH,,2025-05-23,19.79,19.37,-2.12%,-36792.00,否
002727.SZ,,2025-05-26,19.50,17.87,-8.36%,-141810.00,否
603960.SH,,2025-05-27,22.43,21.18,-5.57%,-86625.00,否
003042.SZ,,2025-05-28,18.20,17.01,-6.54%,-96033.00,否
603011.SH,,2025-05-29,17.94,19.71,9.87%,135405.00,是
605366.SH,,2025-05-30,6.48,6.08,-6.17%,-93120.00,否
603518.SH,,2025-06-04,11.85,12.55,5.91%,83580.00,是
603238.SH,,2025-06-05,18.81,17.17,-8.72%,-130708.00,否
002250.SZ,,2025-06-06,12.02,15.40,28.12%,384644.00,是
600151.SH,,2025-06-09,7.39,7.06,-4.47%,-78276.00,否
002640.SZ,,2025-06-10,5.15,5.18,0.58%,9756.00,是
603906.SH,,2025-06-11,15.38,14.12,-8.19%,-137970.00,否
002734.SZ,,2025-06-12,22.70,19.80,-12.78%,-197490.00,否
002365.SZ,,2025-06-13,23.46,27.64,17.82%,240350.00,是
603688.SH,,2025-06-17,35.78,34.25,-4.28%,-67932.00,否
603256.SH,,2025-06-23,13.85,13.80,-0.36%,-5490.00,否
600201.SH,,2025-06-24,7.95,8.13,2.26%,34326.00,是
603119.SH,,2025-06-25,43.21,46.38,7.34%,113486.00,是
603123.SH,,2025-06-26,14.60,15.50,6.16%,102510.00,是
002579.SZ,,2025-06-30,14.50,14.73,1.59%,28014.00,是
600684.SH,,2025-07-01,4.47,4.30,-3.80%,-68238.00,否
603124.SH,,2025-07-02,53.46,54.11,1.22%,20930.00,是
600438.SH,,2025-07-03,18.07,18.34,1.49%,26082.00,是
002938.SZ,,2025-07-04,35.81,39.24,9.58%,169785.00,是
002201.SZ,,2025-07-07,7.90,8.50,7.59%,147540.00,是
002366.SZ,,2025-07-08,9.91,9.56,-3.53%,-73815.00,否
002865.SZ,,2025-07-09,42.80,44.11,3.06%,61701.00,是
002623.SZ,,2025-07-14,26.58,27.68,4.14%,86020.00,是
603617.SH,,2025-07-17,8.05,8.94,11.06%,239232.00,是
002246.SZ,,2025-07-18,16.70,21.53,28.92%,695037.00,是
600629.SH,,2025-07-21,10.34,11.58,11.99%,371504.00,是
600585.SH,,2025-07-22,25.74,27.00,4.90%,169848.00,是
601699.SH,,2025-07-23,13.55,14.18,4.65%,169218.00,是
603716.SH,,2025-07-24,28.60,30.62,7.06%,268862.00,是
002466.SZ,,2025-07-25,41.30,40.74,-1.36%,-55272.00,否
600895.SH,,2025-07-28,30.58,31.65,3.50%,140705.00,是
002174.SZ,,2025-07-29,15.16,15.28,0.79%,32952.00,是
600581.SH,,2025-07-30,4.12,4.38,6.31%,264836.00,是
601869.SH,,2025-07-31,50.00,51.51,3.02%,134692.00,是
002424.SZ,,2025-08-01,6.12,6.65,8.66%,398030.00,是
600629.SH,,2025-08-04,13.80,13.40,-2.90%,-144760.00,否
002558.SZ,,2025-08-05,27.05,27.80,2.77%,134400.00,是
603400.SH,,2025-08-06,60.60,63.94,5.51%,274548.00,是
600967.SH,,2025-08-07,24.29,23.30,-4.08%,-214236.00,否
600651.SH,,2025-08-08,6.34,6.63,4.57%,230724.00,是
601089.SH,,2025-08-11,30.11,31.11,3.32%,175100.00,是
603757.SH,,2025-08-12,34.10,42.85,25.66%,1398250.00,是
000006.SZ,,2025-08-13,7.59,7.14,-5.93%,-405990.00,否
000070.SZ,,2025-08-14,9.99,10.54,5.51%,354640.00,是
600410.SH,,2025-08-15,18.66,20.68,10.83%,735684.00,是
600860.SH,,2025-08-18,14.20,13.80,-2.82%,-212160.00,否
002871.SZ,,2025-08-19,16.45,17.00,3.34%,244750.00,是
002382.SZ,,2025-08-20,6.77,6.49,-4.14%,-312872.00,否
600864.SH,,2025-08-21,8.58,7.93,-7.58%,-549380.00,否

统计摘要
总交易次数,177
盈利交易次数,106
亏损交易次数,71
胜率,59.89%
总收益,6502967.00
总收益率,3251.48%
最大回撤,42.45%
夏普比率,4.3183
最大盈利股票,603757.SH()
最大盈利金额,1398250.00
最大亏损股票,600864.SH()
最大亏损金额,-549380.00
最终资金,6702967.00
适应度得分,0.977679
