股票代码,股票名称,交易日期,买入价格,卖出价格,收益率,收益金额,是否盈利
603004.SH,,2024-09-03,19.44,21.69,11.57%,22950.00,是
603920.SH,,2024-09-06,22.72,20.78,-8.54%,-19012.00,否
002952.SZ,,2024-09-10,22.19,21.13,-4.78%,-9646.00,否
003015.SZ,,2024-09-11,13.55,13.37,-1.33%,-2574.00,否
002866.SZ,,2024-09-13,13.97,13.00,-6.94%,-13289.00,否
002129.SZ,,2024-09-25,8.44,8.79,4.15%,7385.00,是
603345.SH,,2024-09-27,86.77,99.33,14.48%,26376.00,是
002050.SZ,,2024-09-30,22.76,26.05,14.46%,30597.00,是
002119.SZ,,2024-10-09,13.85,13.77,-0.58%,-1400.00,否
603052.SH,,2024-10-11,37.20,37.00,-0.54%,-1280.00,否
000801.SZ,,2024-10-15,10.18,11.80,15.91%,38070.00,是
002630.SZ,,2024-10-16,3.08,3.40,10.39%,28896.00,是
000736.SZ,,2024-10-17,11.61,10.31,-11.20%,-34320.00,否
600990.SH,,2024-10-18,26.18,27.68,5.73%,15600.00,是
600418.SH,,2024-10-21,34.00,35.49,4.38%,12516.00,是
600100.SH,,2024-10-22,7.20,7.38,2.50%,7506.00,是
601162.SH,,2024-10-23,5.51,5.75,4.36%,13416.00,是
000595.SZ,,2024-10-24,10.10,9.70,-3.96%,-12720.00,否
002542.SZ,,2024-10-25,2.69,3.50,30.11%,92988.00,是
600696.SH,,2024-10-28,14.99,16.53,10.27%,41272.00,是
000701.SZ,,2024-10-30,5.35,5.17,-3.36%,-14904.00,否
600353.SH,,2024-10-31,9.68,9.49,-1.96%,-8398.00,否
600316.SH,,2024-11-01,38.99,35.71,-8.41%,-35096.00,否
002568.SZ,,2024-11-04,24.15,25.33,4.89%,18762.00,是
603019.SH,,2024-11-05,68.06,70.82,4.06%,16284.00,是
600316.SH,,2024-11-06,40.60,38.50,-5.17%,-21630.00,否
603489.SH,,2024-11-07,26.88,25.06,-6.77%,-26936.00,否
605218.SH,,2024-11-08,29.20,31.60,8.22%,30480.00,是
002992.SZ,,2024-11-11,65.43,72.56,10.90%,43493.00,是
603009.SH,,2024-11-12,31.52,30.14,-4.38%,-19458.00,否
000795.SZ,,2024-11-13,15.27,12.42,-18.66%,-79230.00,否
002779.SZ,,2024-11-14,55.51,58.45,5.30%,18228.00,是
603039.SH,,2024-11-18,58.50,56.00,-4.27%,-15500.00,否
