股票代码,股票名称,交易日期,买入价格,卖出价格,收益率,收益金额,是否盈利
603166.SH,,2025-03-06,12.16,13.06,7.40%,85500.00,是
603822.SH,,2025-03-07,57.40,59.93,4.41%,54648.00,是
605100.SH,,2025-03-11,28.80,33.37,15.87%,205650.00,是
002195.SZ,,2025-03-12,7.15,6.70,-6.29%,-94500.00,否
603788.SH,,2025-03-13,19.08,17.93,-6.03%,-84755.00,否
600429.SH,,2025-03-17,4.68,4.55,-2.78%,-36738.00,否
002048.SZ,,2025-03-18,18.70,18.54,-0.86%,-10992.00,否
603966.SH,,2025-03-19,9.40,9.27,-1.38%,-17628.00,否
600579.SH,,2025-03-24,9.35,8.96,-4.17%,-52416.00,否
000541.SZ,,2025-03-25,8.58,8.70,1.40%,16848.00,是
600593.SH,,2025-03-27,36.50,36.96,1.26%,15364.00,是
601069.SH,,2025-03-31,15.49,17.02,9.88%,122094.00,是
603072.SH,,2025-04-03,49.04,57.37,16.99%,230741.00,是
002165.SZ,,2025-04-07,7.30,7.13,-2.33%,-37026.00,否
600354.SH,,2025-04-08,6.38,7.66,20.06%,311552.00,是
002100.SZ,,2025-04-09,6.78,6.78,0.00%,0.00,否
603069.SH,,2025-04-10,18.41,19.28,4.73%,88044.00,是
002685.SZ,,2025-04-14,6.44,6.59,2.33%,45480.00,是
600590.SH,,2025-04-15,10.50,9.98,-4.95%,-98904.00,否
001368.SZ,,2025-04-18,23.50,22.07,-6.09%,-115544.00,否
002796.SZ,,2025-04-21,12.00,11.83,-1.42%,-25262.00,否
001337.SZ,,2025-04-22,27.29,27.02,-0.99%,-17388.00,否
600800.SH,,2025-04-25,3.35,3.24,-3.28%,-57167.00,否
002068.SZ,,2025-04-28,11.90,11.23,-5.63%,-94805.00,否
603286.SH,,2025-04-30,32.12,37.50,16.75%,265772.00,是
000665.SZ,,2025-05-06,5.01,5.18,3.39%,62934.00,是
603086.SH,,2025-05-07,9.86,9.50,-3.65%,-69984.00,否
002977.SZ,,2025-05-08,34.95,40.25,15.16%,279840.00,是
603338.SH,,2025-05-13,51.99,49.48,-4.83%,-102659.00,否
000710.SZ,,2025-05-14,13.99,13.72,-1.93%,-39069.00,否
002961.SZ,,2025-05-15,16.73,16.31,-2.51%,-49854.00,否
605188.SH,,2025-05-19,13.65,14.64,7.25%,140382.00,是
600530.SH,,2025-05-20,8.00,8.09,1.12%,23355.00,是
002882.SZ,,2025-05-21,19.20,23.01,19.84%,416433.00,是
002365.SZ,,2025-05-22,17.84,20.66,15.81%,397620.00,是
605033.SH,,2025-05-23,19.79,18.52,-6.42%,-186944.00,否
002727.SZ,,2025-05-26,19.50,18.82,-3.49%,-95064.00,否
603960.SH,,2025-05-27,22.43,21.24,-5.31%,-139587.00,否
003042.SZ,,2025-05-28,18.20,16.99,-6.65%,-165649.00,否
603011.SH,,2025-05-29,17.94,19.22,7.13%,165888.00,是
002609.SZ,,2025-05-30,11.47,10.75,-6.28%,-156456.00,否
603518.SH,,2025-06-04,11.85,13.43,13.33%,311418.00,是
603238.SH,,2025-06-05,18.81,17.83,-5.21%,-137886.00,否
002250.SZ,,2025-06-06,12.02,15.40,28.12%,705406.00,是
600151.SH,,2025-06-09,7.39,7.34,-0.68%,-21750.00,否
002878.SZ,,2025-06-10,19.66,19.37,-1.48%,-47096.00,否
603906.SH,,2025-06-11,15.38,14.50,-5.72%,-179960.00,否
002734.SZ,,2025-06-12,22.70,22.20,-2.20%,-65300.00,否
002366.SZ,,2025-06-13,7.50,7.63,1.73%,50271.00,是
002657.SZ,,2025-06-17,25.71,26.44,2.84%,83731.00,是
603256.SH,,2025-06-23,13.85,13.51,-2.45%,-74494.00,否
600201.SH,,2025-06-24,7.95,8.08,1.64%,48399.00,是
