股票代码,股票名称,交易日期,买入价格,卖出价格,收益率,收益金额,是否盈利
603004.SH,,2024-09-03,19.44,21.69,11.57%,22950.00,是
603920.SH,,2024-09-06,22.72,20.78,-8.54%,-19012.00,否
000516.SZ,,2024-09-10,4.78,4.44,-7.11%,-14484.00,否
003015.SZ,,2024-09-11,13.55,13.37,-1.33%,-2502.00,否
002866.SZ,,2024-09-13,13.97,13.00,-6.94%,-12901.00,否
002466.SZ,,2024-09-25,28.11,27.72,-1.39%,-2379.00,否
603345.SH,,2024-09-27,86.77,99.33,14.48%,23864.00,是
002050.SZ,,2024-09-30,22.76,26.05,14.46%,27965.00,是
002119.SZ,,2024-10-09,13.85,13.77,-0.58%,-1288.00,否
603052.SH,,2024-10-11,37.20,37.00,-0.54%,-1180.00,否
600601.SH,,2024-10-15,3.55,3.36,-5.35%,-11818.00,否
002630.SZ,,2024-10-16,3.08,3.40,10.39%,21728.00,是
603053.SH,,2024-10-17,10.15,9.52,-6.21%,-14301.00,否
002625.SZ,,2024-10-18,32.69,38.28,17.10%,36894.00,是
600418.SH,,2024-10-21,34.00,35.49,4.38%,11026.00,是
600100.SH,,2024-10-22,7.20,7.38,2.50%,6606.00,是
601162.SH,,2024-10-23,5.51,5.75,4.36%,11808.00,是
000595.SZ,,2024-10-24,10.10,9.70,-3.96%,-11200.00,否
002542.SZ,,2024-10-25,2.69,3.50,30.11%,81810.00,是
600696.SH,,2024-10-28,14.99,16.53,10.27%,36190.00,是
002423.SZ,,2024-10-30,19.11,21.50,12.51%,48517.00,是
002321.SZ,,2024-10-31,2.19,2.36,7.76%,34017.00,是
000839.SZ,,2024-11-01,3.77,3.35,-11.14%,-52584.00,否
002568.SZ,,2024-11-04,24.15,25.33,4.89%,20414.00,是
603019.SH,,2024-11-05,68.06,70.82,4.06%,17664.00,是
600862.SH,,2024-11-06,28.26,26.54,-6.09%,-27692.00,否
603489.SH,,2024-11-07,26.88,25.06,-6.77%,-29120.00,否
605218.SH,,2024-11-08,29.20,31.60,8.22%,32880.00,是
002992.SZ,,2024-11-11,65.43,72.56,10.90%,47058.00,是
603009.SH,,2024-11-12,31.52,30.14,-4.38%,-20976.00,否
000795.SZ,,2024-11-13,15.27,12.42,-18.66%,-85785.00,否
002779.SZ,,2024-11-14,55.51,58.45,5.30%,19698.00,是
