股票代码,股票名称,交易日期,买入价格,卖出价格,收益率,收益金额,是否盈利
603004.SH,,2024-09-03,19.44,21.30,9.57%,18972.00,是
603920.SH,,2024-09-06,22.72,21.45,-5.59%,-12192.00,否
000516.SZ,,2024-09-10,4.78,4.39,-8.16%,-16848.00,否
003015.SZ,,2024-09-11,13.55,12.75,-5.90%,-11200.00,否
002866.SZ,,2024-09-13,13.97,12.75,-8.73%,-15494.00,否
002466.SZ,,2024-09-25,28.11,28.10,-0.04%,-58.00,否
603345.SH,,2024-09-27,86.77,97.62,12.50%,19530.00,是
002050.SZ,,2024-09-30,22.76,26.20,15.11%,27520.00,是
002119.SZ,,2024-10-09,13.85,13.68,-1.23%,-2567.00,否
603052.SH,,2024-10-11,37.20,37.00,-0.54%,-1100.00,否
600601.SH,,2024-10-15,3.55,3.40,-4.23%,-8715.00,否
002630.SZ,,2024-10-16,3.08,3.31,7.47%,14766.00,是
603053.SH,,2024-10-17,10.15,9.53,-6.11%,-12958.00,否
002625.SZ,,2024-10-18,32.69,38.28,17.10%,34099.00,是
600418.SH,,2024-10-21,34.00,35.50,4.41%,10200.00,是
600100.SH,,2024-10-22,7.20,7.53,4.58%,11154.00,是
601162.SH,,2024-10-23,5.51,5.90,7.08%,18018.00,是
000595.SZ,,2024-10-24,10.10,9.99,-1.09%,-2970.00,否
002542.SZ,,2024-10-25,2.69,3.50,30.11%,81324.00,是
600696.SH,,2024-10-28,14.99,17.85,19.08%,66924.00,是
002423.SZ,,2024-10-30,19.11,21.85,14.34%,59732.00,是
002321.SZ,,2024-10-31,2.19,2.32,5.94%,28379.00,是
000839.SZ,,2024-11-01,3.77,3.39,-10.08%,-51034.00,否
002568.SZ,,2024-11-04,24.15,25.71,6.46%,29328.00,是
603019.SH,,2024-11-05,68.06,70.54,3.64%,17608.00,是
600862.SH,,2024-11-06,28.26,26.69,-5.56%,-27789.00,否
603489.SH,,2024-11-07,26.88,24.66,-8.26%,-39072.00,否
605218.SH,,2024-11-08,29.20,31.13,6.61%,28757.00,是
002992.SZ,,2024-11-11,65.43,73.20,11.88%,54390.00,是
603009.SH,,2024-11-12,31.52,30.24,-4.06%,-20992.00,否
000795.SZ,,2024-11-13,15.27,10.84,-29.01%,-143975.00,否
