股票代码,股票名称,交易日期,买入价格,卖出价格,收益率,收益金额,是否盈利
000997.SZ,,2025-03-07,25.65,24.40,-4.87%,-28375.00,否
605100.SH,,2025-03-11,28.80,33.37,15.87%,87744.00,是
600718.SH,,2025-03-12,14.04,13.38,-4.70%,-30162.00,否
601616.SH,,2025-03-13,5.13,5.02,-2.14%,-13134.00,否
605208.SH,,2025-03-17,16.50,16.63,0.79%,4719.00,是
002048.SZ,,2025-03-18,18.70,18.23,-2.51%,-15181.00,否
603109.SH,,2025-03-19,26.20,26.68,1.83%,10752.00,是
600579.SH,,2025-03-24,9.35,9.99,6.84%,41024.00,是
000541.SZ,,2025-03-25,8.58,8.98,4.66%,29880.00,是
600593.SH,,2025-03-27,36.50,36.65,0.41%,2745.00,是
601069.SH,,2025-03-31,15.49,17.50,12.98%,87234.00,是
603072.SH,,2025-04-03,49.04,56.55,15.31%,116405.00,是
002165.SZ,,2025-04-07,7.30,7.13,-2.33%,-20417.00,否
600354.SH,,2025-04-08,6.38,7.69,20.53%,175933.00,是
002100.SZ,,2025-04-09,6.78,6.78,0.00%,0.00,否
603069.SH,,2025-04-10,18.41,19.59,6.41%,66080.00,是
002685.SZ,,2025-04-14,6.44,6.66,3.42%,37532.00,是
002155.SZ,,2025-04-15,25.20,25.42,0.87%,9900.00,是
001368.SZ,,2025-04-18,23.50,21.93,-6.68%,-76459.00,否
601010.SH,,2025-04-21,3.39,3.43,1.18%,12620.00,是
603119.SH,,2025-04-22,40.33,42.68,5.83%,62980.00,是
600800.SH,,2025-04-25,3.35,3.16,-5.67%,-64961.00,否
002068.SZ,,2025-04-28,11.90,11.09,-6.81%,-73467.00,否
603986.SH,,2025-04-30,126.93,133.36,5.07%,50797.00,是
002422.SZ,,2025-05-06,36.35,34.65,-4.68%,-49470.00,否
603109.SH,,2025-05-07,23.54,24.12,2.46%,24824.00,是
002977.SZ,,2025-05-08,34.95,40.25,15.16%,156350.00,是
002331.SZ,,2025-05-13,8.32,9.91,19.11%,227211.00,是
000710.SZ,,2025-05-14,13.99,13.71,-2.00%,-28336.00,否
002961.SZ,,2025-05-15,16.73,16.20,-3.17%,-43937.00,否
605188.SH,,2025-05-19,13.65,15.27,11.87%,159408.00,是
600530.SH,,2025-05-20,8.00,7.62,-4.75%,-71402.00,否
002882.SZ,,2025-05-21,19.20,23.01,19.84%,284226.00,是
002347.SZ,,2025-05-22,7.94,7.65,-3.65%,-62698.00,否
002735.SZ,,2025-05-23,17.23,18.65,8.24%,136178.00,是
002727.SZ,,2025-05-26,19.50,17.87,-8.36%,-149634.00,否
002431.SZ,,2025-05-27,2.94,2.97,1.02%,16740.00,是
003042.SZ,,2025-05-28,18.20,17.01,-6.54%,-108290.00,否
603011.SH,,2025-05-29,17.94,19.71,9.87%,152751.00,是
605366.SH,,2025-05-30,6.48,6.08,-6.17%,-105040.00,否
002731.SZ,,2025-06-04,13.27,15.62,17.71%,282705.00,是
603238.SH,,2025-06-05,18.81,17.17,-8.72%,-163836.00,否
002250.SZ,,2025-06-06,12.02,15.40,28.12%,482326.00,是
600151.SH,,2025-06-09,7.39,7.06,-4.47%,-98142.00,否
000795.SZ,,2025-06-10,11.24,11.91,5.96%,125156.00,是
