股票代码,股票名称,交易日期,买入价格,卖出价格,收益率,收益金额,是否盈利
603004.SH,,2024-09-03,19.44,19.24,-1.03%,-2040.00,否
600686.SH,,2024-09-06,14.46,11.79,-18.46%,-36312.00,否
000516.SZ,,2024-09-10,4.78,4.52,-5.44%,-8788.00,否
003015.SZ,,2024-09-11,13.55,12.75,-5.90%,-8960.00,否
002866.SZ,,2024-09-13,13.97,13.09,-6.30%,-9064.00,否
002466.SZ,,2024-09-25,28.11,28.07,-0.14%,-188.00,否
600239.SH,,2024-09-27,2.50,2.90,16.00%,21520.00,是
002050.SZ,,2024-09-30,22.76,25.48,11.95%,18496.00,是
002119.SZ,,2024-10-09,13.85,13.65,-1.44%,-2520.00,否
603052.SH,,2024-10-11,37.20,35.68,-4.09%,-6992.00,否
000801.SZ,,2024-10-15,10.18,11.48,12.77%,21060.00,是
002630.SZ,,2024-10-16,3.08,3.18,3.25%,6040.00,是
000402.SZ,,2024-10-17,3.50,3.24,-7.43%,-14274.00,否
002625.SZ,,2024-10-18,32.69,36.85,12.73%,22464.00,是
600418.SH,,2024-10-21,34.00,35.60,4.71%,9280.00,是
600100.SH,,2024-10-22,7.20,7.61,5.69%,11931.00,是
601162.SH,,2024-10-23,5.51,5.71,3.63%,8040.00,是
000595.SZ,,2024-10-24,10.10,10.12,0.20%,454.00,是
002542.SZ,,2024-10-25,2.69,3.18,18.22%,41895.00,是
600696.SH,,2024-10-28,14.99,17.39,16.01%,43440.00,是
002423.SZ,,2024-10-30,19.11,22.63,18.42%,58080.00,是
002321.SZ,,2024-10-31,2.19,2.33,6.39%,23870.00,是
002513.SZ,,2024-11-01,5.40,6.26,15.93%,63210.00,是
002568.SZ,,2024-11-04,24.15,25.38,5.09%,23370.00,是
603019.SH,,2024-11-05,68.06,71.67,5.30%,25631.00,是
600751.SH,,2024-11-06,3.18,3.14,-1.26%,-6408.00,否
603489.SH,,2024-11-07,26.88,25.10,-6.62%,-33286.00,否
600536.SH,,2024-11-08,62.48,65.72,5.19%,24300.00,是
002992.SZ,,2024-11-11,65.43,71.15,8.74%,42900.00,是
603009.SH,,2024-11-12,31.52,30.24,-4.06%,-21760.00,否
000795.SZ,,2024-11-13,15.27,10.84,-29.01%,-149291.00,否
002779.SZ,,2024-11-14,55.51,58.70,5.75%,20735.00,是
600345.SH,,2024-11-18,27.17,25.24,-7.10%,-27406.00,否
002501.SZ,,2024-11-19,1.81,1.75,-3.31%,-11910.00,否
600292.SH,,2024-11-20,15.00,14.53,-3.13%,-10857.00,否
002392.SZ,,2024-11-21,4.84,4.85,0.21%,695.00,是
002713.SZ,,2024-11-22,4.78,4.58,-4.18%,-14100.00,否
603585.SH,,2024-11-25,13.73,15.10,9.98%,32195.00,是
003021.SZ,,2024-12-02,78.00,81.00,3.85%,13500.00,是
600635.SH,,2024-12-03,4.63,4.49,-3.02%,-11144.00,否
603669.SH,,2024-12-04,7.50,8.47,12.93%,46269.00,是
000903.SZ,,2024-12-05,4.13,4.92,19.13%,77262.00,是
600178.SH,,2024-12-06,13.54,13.36,-1.33%,-6390.00,否
002403.SZ,,2024-12-09,16.06,19.00,18.31%,86730.00,是
603015.SH,,2024-12-11,13.42,12.78,-4.77%,-26752.00,否
002495.SZ,,2024-12-12,3.16,3.01,-4.75%,-25380.00,否
605388.SH,,2024-12-13,8.21,7.56,-7.92%,-40300.00,否
002402.SZ,,2024-12-16,21.98,21.40,-2.64%,-12354.00,否
002529.SZ,,2024-12-17,10.35,9.63,-6.96%,-31752.00,否
002181.SZ,,2024-12-18,8.88,10.09,13.63%,57838.00,是
000788.SZ,,2024-12-19,7.10,6.80,-4.23%,-20400.00,否
603629.SH,,2024-12-20,19.57,20.91,6.85%,31624.00,是
002045.SZ,,2024-12-23,22.97,21.29,-7.31%,-36120.00,否
603759.SH,,2024-12-24,8.48,8.15,-3.89%,-17820.00,否
603719.SH,,2024-12-25,15.19,15.70,3.36%,14739.00,是
603711.SH,,2024-12-26,18.90,18.61,-1.53%,-6960.00,否
603236.SH,,2024-12-27,73.18,71.46,-2.35%,-10492.00,否
001258.SZ,,2024-12-30,8.50,8.27,-2.71%,-11822.00,否
600398.SH,,2024-12-31,7.46,7.80,4.56%,19380.00,是
002269.SZ,,2025-01-03,2.31,2.34,1.30%,5778.00,是
002552.SZ,,2025-01-06,14.46,15.03,3.94%,17727.00,是
601226.SH,,2025-01-07,7.53,7.53,0.00%,0.00,否
002187.SZ,,2025-01-08,7.37,7.59,2.99%,13970.00,是
003021.SZ,,2025-01-09,78.47,93.91,19.68%,94184.00,是
002050.SZ,,2025-01-10,25.80,26.19,1.51%,8697.00,是
002265.SZ,,2025-01-13,31.65,28.31,-10.55%,-61456.00,否
002878.SZ,,2025-01-15,17.55,17.78,1.31%,6854.00,是
603270.SH,,2025-01-16,21.57,20.93,-2.97%,-15744.00,否
600183.SH,,2025-01-20,28.44,29.18,2.60%,13394.00,是
002718.SZ,,2025-01-23,15.99,15.81,-1.13%,-5940.00,否
600184.SH,,2025-01-24,11.17,10.66,-4.57%,-23817.00,否
001282.SZ,,2025-01-27,27.35,26.60,-2.74%,-13650.00,否
002394.SZ,,2025-02-05,8.24,8.00,-2.91%,-14112.00,否
000503.SZ,,2025-02-06,10.86,11.76,8.29%,38970.00,是
002906.SZ,,2025-02-07,35.10,34.49,-1.74%,-8845.00,否
603612.SH,,2025-02-10,16.38,16.75,2.26%,11285.00,是
600979.SH,,2025-02-11,5.16,5.42,5.04%,25818.00,是
600186.SH,,2025-02-12,7.47,7.49,0.27%,1440.00,是
600845.SH,,2025-02-13,33.80,35.00,3.55%,19080.00,是
000880.SZ,,2025-02-17,23.70,22.88,-3.46%,-19270.00,否
603516.SH,,2025-02-18,56.12,54.88,-2.21%,-11904.00,否
603315.SH,,2025-02-20,13.68,13.96,2.05%,10780.00,是
002272.SZ,,2025-02-21,11.48,12.20,6.27%,33696.00,是
000815.SZ,,2025-02-24,12.54,12.61,0.56%,3192.00,是
603767.SH,,2025-02-27,14.45,13.93,-3.60%,-20696.00,否
002042.SZ,,2025-02-28,6.20,5.43,-12.42%,-68838.00,否
002759.SZ,,2025-03-04,9.50,8.98,-5.47%,-26572.00,否
601020.SH,,2025-03-05,17.36,20.18,16.24%,74448.00,是
603166.SH,,2025-03-06,12.16,12.78,5.10%,27156.00,是
603822.SH,,2025-03-07,57.40,61.98,7.98%,44426.00,是
605100.SH,,2025-03-11,28.80,31.57,9.62%,58170.00,是
002195.SZ,,2025-03-12,7.15,6.31,-11.75%,-77868.00,否
603788.SH,,2025-03-13,19.08,18.50,-3.04%,-17748.00,否
600429.SH,,2025-03-17,4.68,4.54,-2.99%,-16982.00,否
002048.SZ,,2025-03-18,18.70,18.42,-1.50%,-8232.00,否
603966.SH,,2025-03-19,9.40,9.45,0.53%,2885.00,是
600579.SH,,2025-03-24,9.35,9.53,1.93%,10494.00,是
000541.SZ,,2025-03-25,8.58,8.82,2.80%,15528.00,是
600593.SH,,2025-03-27,36.50,37.21,1.95%,11076.00,是
601069.SH,,2025-03-31,15.49,16.96,9.49%,55272.00,是
603072.SH,,2025-04-03,49.04,58.21,18.70%,119210.00,是
002165.SZ,,2025-04-07,7.30,7.10,-2.74%,-20720.00,否
600354.SH,,2025-04-08,6.38,7.27,13.95%,102617.00,是
002100.SZ,,2025-04-09,6.78,6.80,0.29%,2474.00,是
603069.SH,,2025-04-10,18.41,19.12,3.86%,32376.00,是
002685.SZ,,2025-04-14,6.44,6.64,3.11%,27120.00,是
600590.SH,,2025-04-15,10.50,9.09,-13.43%,-120837.00,否
001368.SZ,,2025-04-18,23.50,21.93,-6.68%,-51967.00,否
002796.SZ,,2025-04-21,12.00,11.68,-2.67%,-19392.00,否
001337.SZ,,2025-04-22,27.29,25.90,-5.09%,-36001.00,否
600800.SH,,2025-04-25,3.35,3.16,-5.67%,-38133.00,否
002068.SZ,,2025-04-28,11.90,11.23,-5.63%,-35711.00,否
603286.SH,,2025-04-30,32.12,34.56,7.60%,45384.00,是
000665.SZ,,2025-05-06,5.01,5.12,2.20%,14135.00,是
603086.SH,,2025-05-07,9.86,9.78,-0.81%,-5336.00,否
002977.SZ,,2025-05-08,34.95,40.25,15.16%,98580.00,是
603338.SH,,2025-05-13,51.99,48.29,-7.12%,-53280.00,否
000710.SZ,,2025-05-14,13.99,13.62,-2.64%,-18463.00,否
002961.SZ,,2025-05-15,16.73,16.43,-1.79%,-12180.00,否
605188.SH,,2025-05-19,13.65,15.41,12.89%,86064.00,是
600530.SH,,2025-05-20,8.00,8.25,3.12%,23550.00,是
002882.SZ,,2025-05-21,19.20,21.95,14.32%,111100.00,是
002365.SZ,,2025-05-22,17.84,20.36,14.13%,125244.00,是
605033.SH,,2025-05-23,19.79,19.37,-2.12%,-21504.00,否
002727.SZ,,2025-05-26,19.50,18.85,-3.33%,-33020.00,否
603960.SH,,2025-05-27,22.43,21.23,-5.35%,-51240.00,否
003042.SZ,,2025-05-28,18.20,17.01,-6.54%,-59262.00,否
603011.SH,,2025-05-29,17.94,19.24,7.25%,61360.00,是
002609.SZ,,2025-05-30,11.47,10.71,-6.63%,-60268.00,否
603518.SH,,2025-06-04,11.85,13.43,13.33%,113286.00,是
603238.SH,,2025-06-05,18.81,17.17,-8.72%,-83804.00,否
002250.SZ,,2025-06-06,12.02,14.08,17.14%,150586.00,是
600151.SH,,2025-06-09,7.39,7.06,-4.47%,-45969.00,否
002878.SZ,,2025-06-10,19.66,19.81,0.76%,7500.00,是
603906.SH,,2025-06-11,15.38,14.12,-8.19%,-81144.00,否
002734.SZ,,2025-06-12,22.70,19.80,-12.78%,-116000.00,否
002366.SZ,,2025-06-13,7.50,7.68,2.40%,19044.00,是
002657.SZ,,2025-06-17,25.71,26.08,1.44%,11692.00,是
603256.SH,,2025-06-23,13.85,13.90,0.36%,2975.00,是
600201.SH,,2025-06-24,7.95,8.11,2.01%,16656.00,是
002281.SZ,,2025-06-25,48.12,48.55,0.89%,7525.00,是
603123.SH,,2025-06-26,14.60,15.05,3.08%,26235.00,是
002579.SZ,,2025-06-30,14.50,14.18,-2.21%,-19360.00,否
600684.SH,,2025-07-01,4.47,4.42,-1.12%,-9605.00,否
603124.SH,,2025-07-02,53.46,53.85,0.73%,6162.00,是
600876.SH,,2025-07-03,12.06,12.48,3.48%,29778.00,是
002938.SZ,,2025-07-04,35.81,38.05,6.26%,55328.00,是
002020.SZ,,2025-07-07,15.60,15.21,-2.50%,-23478.00,否
002366.SZ,,2025-07-08,9.91,9.86,-0.50%,-4625.00,否
002865.SZ,,2025-07-09,42.80,45.11,5.40%,49203.00,是
002623.SZ,,2025-07-14,26.58,26.01,-2.14%,-20577.00,否
603617.SH,,2025-07-17,8.05,8.58,6.58%,61957.00,是
002246.SZ,,2025-07-18,16.70,19.57,17.19%,172200.00,是
600629.SH,,2025-07-21,10.34,11.58,11.99%,140864.00,是
600585.SH,,2025-07-22,25.74,27.00,4.90%,64386.00,是
601699.SH,,2025-07-23,13.55,13.95,2.95%,40720.00,是
603716.SH,,2025-07-24,28.60,32.93,15.14%,214768.00,是
600259.SH,,2025-07-25,63.54,66.83,5.18%,84553.00,是
600895.SH,,2025-07-28,30.58,31.69,3.63%,62382.00,是
002174.SZ,,2025-07-29,15.16,15.29,0.86%,15288.00,是
600581.SH,,2025-07-30,4.12,4.34,5.34%,96008.00,是
601869.SH,,2025-07-31,50.00,50.72,1.44%,27216.00,是
002424.SZ,,2025-08-01,6.12,6.53,6.70%,128699.00,是
603286.SH,,2025-08-04,31.40,34.31,9.27%,189732.00,是
002558.SZ,,2025-08-05,27.05,27.54,1.81%,40572.00,是
600610.SH,,2025-08-06,13.74,13.96,1.60%,36498.00,是
600150.SH,,2025-08-07,39.88,39.08,-2.01%,-46400.00,否
600651.SH,,2025-08-08,6.34,6.83,7.73%,175469.00,是
601089.SH,,2025-08-11,30.11,30.78,2.23%,54404.00,是
603757.SH,,2025-08-12,34.10,38.95,14.22%,355505.00,是
000006.SZ,,2025-08-13,7.59,7.41,-2.37%,-67716.00,否
603031.SH,,2025-08-14,32.67,36.14,10.62%,295991.00,是
600410.SH,,2025-08-15,18.66,20.68,10.83%,333704.00,是
002873.SZ,,2025-08-18,12.73,15.19,19.32%,660264.00,是
002871.SZ,,2025-08-19,16.45,17.18,4.44%,180967.00,是
002382.SZ,,2025-08-20,6.77,6.52,-3.69%,-157275.00,否
600864.SH,,2025-08-21,8.58,7.93,-7.58%,-310700.00,否

统计摘要
总交易次数,177
盈利交易次数,101
亏损交易次数,76
胜率,57.06%
总收益,3591116.00
总收益率,1795.56%
最大回撤,39.82%
夏普比率,3.9891
最大盈利股票,002873.SZ()
最大盈利金额,660264.00
最大亏损股票,600864.SH()
最大亏损金额,-310700.00
最终资金,3791116.00
适应度得分,1.060194
