股票代码,股票名称,交易日期,买入价格,卖出价格,收益率,收益金额,是否盈利
603004.SH,,2024-09-03,19.44,21.69,11.57%,22950.00,是
603207.SH,,2024-09-06,26.56,24.90,-6.25%,-13778.00,否
002952.SZ,,2024-09-10,22.19,21.13,-4.78%,-9964.00,否
003015.SZ,,2024-09-11,13.55,13.37,-1.33%,-2646.00,否
002866.SZ,,2024-09-13,13.97,13.00,-6.94%,-13580.00,否
002466.SZ,,2024-09-25,28.11,27.72,-1.39%,-2535.00,否
600239.SH,,2024-09-27,2.50,2.90,16.00%,28840.00,是
002050.SZ,,2024-09-30,22.76,26.05,14.46%,29939.00,是
002119.SZ,,2024-10-09,13.85,13.77,-0.58%,-1376.00,否
603052.SH,,2024-10-11,37.20,37.00,-0.54%,-1260.00,否
000801.SZ,,2024-10-15,10.18,11.80,15.91%,37584.00,是
002630.SZ,,2024-10-16,3.08,3.40,10.39%,28480.00,是
600340.SH,,2024-10-17,1.56,1.43,-8.33%,-25220.00,否
600990.SH,,2024-10-18,26.18,27.68,5.73%,15750.00,是
600418.SH,,2024-10-21,34.00,35.49,4.38%,12814.00,是
600100.SH,,2024-10-22,7.20,7.38,2.50%,7632.00,是
601162.SH,,2024-10-23,5.51,5.75,4.36%,13656.00,是
000595.SZ,,2024-10-24,10.10,9.70,-3.96%,-12960.00,否
002542.SZ,,2024-10-25,2.69,3.50,30.11%,94608.00,是
600696.SH,,2024-10-28,14.99,16.53,10.27%,41888.00,是
000701.SZ,,2024-10-30,5.35,5.17,-3.36%,-15156.00,否
600353.SH,,2024-10-31,9.68,9.49,-1.96%,-8550.00,否
002044.SZ,,2024-11-01,4.80,4.65,-3.12%,-13335.00,否
002568.SZ,,2024-11-04,24.15,25.33,4.89%,20178.00,是
603019.SH,,2024-11-05,68.06,70.82,4.06%,17388.00,是
002897.SZ,,2024-11-06,47.53,47.00,-1.12%,-4982.00,否
603489.SH,,2024-11-07,26.88,25.06,-6.77%,-30212.00,否
002474.SZ,,2024-11-08,7.11,6.84,-3.80%,-15795.00,否
002992.SZ,,2024-11-11,65.43,72.56,10.90%,43493.00,是
603009.SH,,2024-11-12,31.52,30.14,-4.38%,-19320.00,否
000795.SZ,,2024-11-13,15.27,12.42,-18.66%,-79230.00,否
002779.SZ,,2024-11-14,55.51,58.45,5.30%,18228.00,是
603039.SH,,2024-11-18,58.50,56.00,-4.27%,-15500.00,否
002501.SZ,,2024-11-19,1.81,1.68,-7.18%,-24986.00,否
002095.SZ,,2024-11-20,16.81,19.51,16.06%,51840.00,是
002392.SZ,,2024-11-21,4.84,4.74,-2.07%,-7740.00,否
002713.SZ,,2024-11-22,4.78,4.57,-4.39%,-16128.00,否
603585.SH,,2024-11-25,13.73,13.90,1.24%,4335.00,是
003021.SZ,,2024-12-02,78.00,79.66,2.13%,7470.00,是
002933.SZ,,2024-12-03,39.13,36.00,-8.00%,-28796.00,否
603669.SH,,2024-12-04,7.50,8.79,17.20%,57405.00,是
000903.SZ,,2024-12-05,4.13,4.92,19.13%,74813.00,是
002135.SZ,,2024-12-06,5.23,5.06,-3.25%,-15147.00,否
002403.SZ,,2024-12-09,16.06,19.14,19.18%,86240.00,是
603015.SH,,2024-12-11,13.42,12.04,-10.28%,-55200.00,否
002547.SZ,,2024-12-12,6.54,6.20,-5.20%,-25058.00,否
605388.SH,,2024-12-13,8.21,7.68,-6.46%,-29468.00,否
002402.SZ,,2024-12-16,21.98,20.38,-7.28%,-31040.00,否
002529.SZ,,2024-12-17,10.35,9.40,-9.18%,-36385.00,否
002181.SZ,,2024-12-18,8.88,10.12,13.96%,50220.00,是
002899.SZ,,2024-12-19,23.60,25.48,7.97%,32524.00,是
603629.SH,,2024-12-20,19.57,22.01,12.47%,55144.00,是
002045.SZ,,2024-12-23,22.97,21.73,-5.40%,-26784.00,否
603759.SH,,2024-12-24,8.48,8.31,-2.00%,-9435.00,否
603719.SH,,2024-12-25,15.19,15.53,2.24%,10336.00,是
603711.SH,,2024-12-26,18.90,18.40,-2.65%,-12450.00,否
603236.SH,,2024-12-27,73.18,71.20,-2.71%,-12276.00,否
001258.SZ,,2024-12-30,8.50,8.19,-3.65%,-16306.00,否
603339.SH,,2024-12-31,13.22,12.62,-4.54%,-19560.00,否
600327.SH,,2025-01-03,5.91,5.60,-5.25%,-21576.00,否
002552.SZ,,2025-01-06,14.46,15.98,10.51%,40888.00,是
601226.SH,,2025-01-07,7.53,7.35,-2.39%,-10296.00,否
002484.SZ,,2025-01-08,19.31,22.22,15.07%,63147.00,是
003021.SZ,,2025-01-09,78.47,94.77,20.77%,99430.00,是
603089.SH,,2025-01-10,10.06,9.30,-7.55%,-44004.00,否
002265.SZ,,2025-01-13,31.65,31.70,0.16%,850.00,是
002815.SZ,,2025-01-15,10.90,10.63,-2.48%,-13365.00,否
603270.SH,,2025-01-16,21.57,21.15,-1.95%,-10248.00,否
600183.SH,,2025-01-20,28.44,29.07,2.22%,11403.00,是
002718.SZ,,2025-01-23,15.99,17.22,7.69%,40590.00,是
600184.SH,,2025-01-24,11.17,10.68,-4.39%,-24892.00,否
002439.SZ,,2025-01-27,15.34,15.51,1.11%,6018.00,是
002394.SZ,,2025-02-05,8.24,8.00,-2.91%,-15984.00,否
000503.SZ,,2025-02-06,10.86,10.80,-0.55%,-2946.00,否
603920.SH,,2025-02-07,35.00,36.90,5.43%,28690.00,是
603612.SH,,2025-02-10,16.38,16.49,0.67%,3751.00,是
600979.SH,,2025-02-11,5.16,5.41,4.84%,27275.00,是
002878.SZ,,2025-02-12,19.70,20.76,5.38%,31694.00,是
600845.SH,,2025-02-13,33.80,34.86,3.14%,19504.00,是
000880.SZ,,2025-02-17,23.70,23.08,-2.62%,-16740.00,否
603516.SH,,2025-02-18,56.12,54.03,-3.72%,-23199.00,否
601777.SH,,2025-02-20,8.69,8.61,-0.92%,-5536.00,否
002733.SZ,,2025-02-21,18.10,19.00,4.97%,29610.00,是
000938.SZ,,2025-02-24,33.08,32.08,-3.02%,-18900.00,否
000932.SZ,,2025-02-27,4.96,4.92,-0.81%,-4892.00,否
603777.SH,,2025-02-28,16.35,16.18,-1.04%,-6256.00,否
000710.SZ,,2025-03-04,14.42,15.55,7.84%,46669.00,是
601020.SH,,2025-03-05,17.36,20.50,18.09%,115866.00,是
603166.SH,,2025-03-06,12.16,13.06,7.40%,56070.00,是
000997.SZ,,2025-03-07,25.65,24.69,-3.74%,-30432.00,否
605100.SH,,2025-03-11,28.80,33.37,15.87%,124304.00,是
600718.SH,,2025-03-12,14.04,13.24,-5.70%,-51680.00,否
603344.SH,,2025-03-13,28.70,28.36,-1.18%,-10132.00,否
605208.SH,,2025-03-17,16.50,16.20,-1.82%,-15360.00,否
002048.SZ,,2025-03-18,18.70,18.54,-0.86%,-7104.00,否
603109.SH,,2025-03-19,26.20,24.43,-6.76%,-55578.00,否
600579.SH,,2025-03-24,9.35,8.96,-4.17%,-32019.00,否
000541.SZ,,2025-03-25,8.58,8.70,1.40%,10296.00,是
600593.SH,,2025-03-27,36.50,36.96,1.26%,9384.00,是
601069.SH,,2025-03-31,15.49,17.02,9.88%,74511.00,是
603072.SH,,2025-04-03,49.04,57.37,16.99%,140777.00,是
002165.SZ,,2025-04-07,7.30,7.13,-2.33%,-22610.00,否
600354.SH,,2025-04-08,6.38,7.66,20.06%,190208.00,是
002100.SZ,,2025-04-09,6.78,6.78,0.00%,0.00,否
603069.SH,,2025-04-10,18.41,19.28,4.73%,53766.00,是
002685.SZ,,2025-04-14,6.44,6.59,2.33%,27765.00,是
002155.SZ,,2025-04-15,25.20,25.92,2.86%,34848.00,是
001368.SZ,,2025-04-18,23.50,22.07,-6.09%,-76362.00,否
002796.SZ,,2025-04-21,12.00,11.83,-1.42%,-16694.00,否
003006.SZ,,2025-04-22,30.90,29.75,-3.72%,-43240.00,否
600800.SH,,2025-04-25,3.35,3.24,-3.28%,-36729.00,否
002068.SZ,,2025-04-28,11.90,11.23,-5.63%,-60903.00,否
603286.SH,,2025-04-30,32.12,37.50,16.75%,170546.00,是
000665.SZ,,2025-05-06,5.01,5.18,3.39%,40426.00,是
002981.SZ,,2025-05-07,25.79,24.92,-3.37%,-41499.00,否
002977.SZ,,2025-05-08,34.95,40.25,15.16%,180200.00,是
002331.SZ,,2025-05-13,8.32,10.01,20.31%,278343.00,是
000710.SZ,,2025-05-14,13.99,13.72,-1.93%,-31806.00,否
002961.SZ,,2025-05-15,16.73,16.31,-2.51%,-40572.00,否
605188.SH,,2025-05-19,13.65,14.64,7.25%,114345.00,是
600530.SH,,2025-05-20,8.00,8.09,1.12%,19026.00,是
002882.SZ,,2025-05-21,19.20,23.01,19.84%,339090.00,是
002347.SZ,,2025-05-22,7.94,7.71,-2.90%,-59363.00,否
002735.SZ,,2025-05-23,17.23,17.95,4.18%,83088.00,是
002727.SZ,,2025-05-26,19.50,18.82,-3.49%,-72284.00,否
002431.SZ,,2025-05-27,2.94,2.82,-4.08%,-81660.00,否
003042.SZ,,2025-05-28,18.20,16.99,-6.65%,-127534.00,否
603011.SH,,2025-05-29,17.94,19.22,7.13%,127744.00,是
002317.SZ,,2025-05-30,13.88,13.20,-4.90%,-93976.00,否
002731.SZ,,2025-06-04,13.27,15.62,17.71%,323125.00,是
603238.SH,,2025-06-05,18.81,17.83,-5.21%,-111916.00,否
002250.SZ,,2025-06-06,12.02,15.40,28.12%,572572.00,是
600151.SH,,2025-06-09,7.39,7.34,-0.68%,-17650.00,否
002440.SZ,,2025-06-10,8.25,8.02,-2.79%,-72243.00,否
603906.SH,,2025-06-11,15.38,14.50,-5.72%,-144056.00,否
002734.SZ,,2025-06-12,22.70,22.20,-2.20%,-52300.00,否
002365.SZ,,2025-06-13,23.46,25.46,8.53%,198000.00,是
603688.SH,,2025-06-17,35.78,34.39,-3.88%,-97856.00,否
603256.SH,,2025-06-23,13.85,13.51,-2.45%,-59466.00,否
600201.SH,,2025-06-24,7.95,8.08,1.64%,38649.00,是
002281.SZ,,2025-06-25,48.12,48.45,0.69%,16467.00,是
603123.SH,,2025-06-26,14.60,14.98,2.60%,62928.00,是
002579.SZ,,2025-06-30,14.50,14.75,1.72%,42775.00,是
600684.SH,,2025-07-01,4.47,4.39,-1.79%,-45176.00,否
603124.SH,,2025-07-02,53.46,54.11,1.22%,30095.00,是
601890.SH,,2025-07-03,11.51,10.63,-7.65%,-191840.00,否
002938.SZ,,2025-07-04,35.81,39.96,11.59%,268505.00,是
601208.SH,,2025-07-07,11.15,10.85,-2.69%,-69570.00,否
002366.SZ,,2025-07-08,9.91,9.92,0.10%,2539.00,是
002865.SZ,,2025-07-09,42.80,44.98,5.09%,128184.00,是
002623.SZ,,2025-07-14,26.58,27.16,2.18%,57710.00,是
603617.SH,,2025-07-17,8.05,9.06,12.55%,339360.00,是
002246.SZ,,2025-07-18,16.70,21.53,28.92%,880026.00,是
003007.SZ,,2025-07-21,34.37,32.74,-4.74%,-185983.00,否
600668.SH,,2025-07-22,13.40,12.95,-3.36%,-125505.00,否
601699.SH,,2025-07-23,13.55,13.06,-3.62%,-130634.00,否
603716.SH,,2025-07-24,28.60,33.44,16.92%,589028.00,是
600259.SH,,2025-07-25,63.54,66.40,4.50%,183040.00,是
600895.SH,,2025-07-28,30.58,32.20,5.30%,225342.00,是
002174.SZ,,2025-07-29,15.16,15.33,1.12%,50218.00,是
600581.SH,,2025-07-30,4.12,4.47,8.50%,384790.00,是
601869.SH,,2025-07-31,50.00,50.60,1.20%,58920.00,是
002424.SZ,,2025-08-01,6.12,6.70,9.48%,471308.00,是
600671.SH,,2025-08-04,15.39,15.04,-2.27%,-123795.00,否
002558.SZ,,2025-08-05,27.05,27.71,2.44%,129822.00,是
002921.SZ,,2025-08-06,17.95,17.63,-1.78%,-97152.00,否
002029.SZ,,2025-08-07,7.60,7.29,-4.08%,-218364.00,否
600651.SH,,2025-08-08,6.34,6.74,6.31%,323960.00,是
601089.SH,,2025-08-11,30.11,30.50,1.30%,70707.00,是
002418.SZ,,2025-08-12,4.25,4.23,-0.47%,-26022.00,否
000006.SZ,,2025-08-13,7.59,7.36,-3.03%,-166773.00,否
002782.SZ,,2025-08-14,17.90,18.00,0.56%,29810.00,是
600410.SH,,2025-08-15,18.66,20.68,10.83%,580952.00,是
002873.SZ,,2025-08-18,12.73,15.19,19.32%,1149312.00,是
002871.SZ,,2025-08-19,16.45,15.80,-3.95%,-280410.00,否
002382.SZ,,2025-08-20,6.77,6.56,-3.10%,-211449.00,否
002476.SZ,,2025-08-21,5.75,5.70,-0.87%,-57435.00,否
002369.SZ,,2025-08-22,11.12,10.93,-1.71%,-111872.00,否
601208.SH,,2025-08-25,19.57,18.82,-3.83%,-246600.00,否

统计摘要
总交易次数,179
盈利交易次数,86
亏损交易次数,93
胜率,48.04%
总收益,5989425.00
总收益率,2994.71%
最大回撤,32.97%
夏普比率,4.3194
最大盈利股票,002873.SZ()
最大盈利金额,1149312.00
最大亏损股票,002871.SZ()
最大亏损金额,-280410.00
最终资金,6189425.00
适应度得分,2.623876
