股票代码,股票名称,交易日期,买入价格,卖出价格,收益率,收益金额,是否盈利
603004.SH,,2024-09-03,19.44,21.30,9.57%,18972.00,是
600686.SH,,2024-09-06,14.46,11.79,-18.46%,-40317.00,否
000516.SZ,,2024-09-10,4.78,4.39,-8.16%,-14547.00,否
003015.SZ,,2024-09-11,13.55,12.75,-5.90%,-9680.00,否
002866.SZ,,2024-09-13,13.97,12.75,-8.73%,-13420.00,否
002466.SZ,,2024-09-25,28.11,28.10,-0.04%,-50.00,否
600239.SH,,2024-09-27,2.50,2.90,16.00%,22520.00,是
002050.SZ,,2024-09-30,22.76,26.20,15.11%,24424.00,是
002119.SZ,,2024-10-09,13.85,13.68,-1.23%,-2295.00,否
603052.SH,,2024-10-11,37.20,37.00,-0.54%,-980.00,否
000801.SZ,,2024-10-15,10.18,10.63,4.42%,8145.00,是
002630.SZ,,2024-10-16,3.08,3.31,7.47%,14375.00,是
000402.SZ,,2024-10-17,3.50,3.24,-7.43%,-15366.00,否
002625.SZ,,2024-10-18,32.69,38.28,17.10%,32422.00,是
600418.SH,,2024-10-21,34.00,35.50,4.41%,9750.00,是
600100.SH,,2024-10-22,7.20,7.53,4.58%,10692.00,是
601162.SH,,2024-10-23,5.51,5.90,7.08%,17316.00,是
000595.SZ,,2024-10-24,10.10,9.99,-1.09%,-2849.00,否
002542.SZ,,2024-10-25,2.69,3.50,30.11%,78003.00,是
600696.SH,,2024-10-28,14.99,17.85,19.08%,64064.00,是
002423.SZ,,2024-10-30,19.11,21.85,14.34%,57266.00,是
002321.SZ,,2024-10-31,2.19,2.32,5.94%,27209.00,是
002513.SZ,,2024-11-01,5.40,5.74,6.30%,30566.00,是
002568.SZ,,2024-11-04,24.15,25.71,6.46%,33228.00,是
603019.SH,,2024-11-05,68.06,70.54,3.64%,19840.00,是
600751.SH,,2024-11-06,3.18,3.14,-1.26%,-7160.00,否
603489.SH,,2024-11-07,26.88,24.66,-8.26%,-46398.00,否
600536.SH,,2024-11-08,62.48,69.46,11.17%,57236.00,是
002992.SZ,,2024-11-11,65.43,73.20,11.88%,67599.00,是
603009.SH,,2024-11-12,31.52,30.24,-4.06%,-25984.00,否
000795.SZ,,2024-11-13,15.27,10.84,-29.01%,-178086.00,否
002779.SZ,,2024-11-14,55.51,58.61,5.58%,24180.00,是
600345.SH,,2024-11-18,27.17,25.24,-7.10%,-32617.00,否
002501.SZ,,2024-11-19,1.81,1.74,-3.87%,-16548.00,否
600292.SH,,2024-11-20,15.00,15.30,2.00%,8220.00,是
002392.SZ,,2024-11-21,4.84,4.65,-3.93%,-16473.00,否
002713.SZ,,2024-11-22,4.78,4.58,-4.18%,-16860.00,否
603585.SH,,2024-11-25,13.73,14.11,2.77%,10678.00,是
003021.SZ,,2024-12-02,78.00,80.60,3.33%,13000.00,是
600635.SH,,2024-12-03,4.63,4.49,-3.02%,-12390.00,否
603669.SH,,2024-12-04,7.50,8.45,12.67%,50350.00,是
000903.SZ,,2024-12-05,4.13,4.65,12.59%,56368.00,是
600178.SH,,2024-12-06,13.54,13.07,-3.47%,-17484.00,否
002403.SZ,,2024-12-09,16.06,19.14,19.18%,93324.00,是
603015.SH,,2024-12-11,13.42,12.78,-4.77%,-27648.00,否
002495.SZ,,2024-12-12,3.16,3.01,-4.75%,-26220.00,否
605388.SH,,2024-12-13,8.21,7.56,-7.92%,-41665.00,否
002402.SZ,,2024-12-16,21.98,21.00,-4.46%,-21560.00,否
002529.SZ,,2024-12-17,10.35,9.59,-7.34%,-33972.00,否
002181.SZ,,2024-12-18,8.88,10.12,13.96%,59892.00,是
000788.SZ,,2024-12-19,7.10,6.80,-4.23%,-20640.00,否
603629.SH,,2024-12-20,19.57,20.30,3.73%,17447.00,是
002045.SZ,,2024-12-23,22.97,21.29,-7.31%,-35448.00,否
603759.SH,,2024-12-24,8.48,8.15,-3.89%,-17523.00,否
603719.SH,,2024-12-25,15.19,15.52,2.17%,9372.00,是
603711.SH,,2024-12-26,18.90,18.65,-1.32%,-5850.00,否
603236.SH,,2024-12-27,73.18,70.13,-4.17%,-17995.00,否
001258.SZ,,2024-12-30,8.50,7.96,-6.35%,-26568.00,否
