股票代码,股票名称,交易日期,买入价格,卖出价格,收益率,收益金额,是否盈利
603004.SH,,2024-09-03,19.44,21.30,9.57%,18972.00,是
603207.SH,,2024-09-06,26.56,23.88,-10.09%,-21976.00,否
002952.SZ,,2024-09-10,22.19,20.87,-5.95%,-11616.00,否
003015.SZ,,2024-09-11,13.55,12.75,-5.90%,-10880.00,否
002866.SZ,,2024-09-13,13.97,12.75,-8.73%,-15128.00,否
002466.SZ,,2024-09-25,28.11,28.10,-0.04%,-56.00,否
600239.SH,,2024-09-27,2.50,2.90,16.00%,25480.00,是
002050.SZ,,2024-09-30,22.76,26.20,15.11%,27864.00,是
002119.SZ,,2024-10-09,13.85,13.68,-1.23%,-2601.00,否
603052.SH,,2024-10-11,37.20,37.00,-0.54%,-1120.00,否
000801.SZ,,2024-10-15,10.18,10.63,4.42%,9225.00,是
002630.SZ,,2024-10-16,3.08,3.31,7.47%,16284.00,是
600340.SH,,2024-10-17,1.56,1.47,-5.77%,-13518.00,否
600990.SH,,2024-10-18,26.18,27.02,3.21%,7056.00,是
600418.SH,,2024-10-21,34.00,35.50,4.41%,10050.00,是
600100.SH,,2024-10-22,7.20,7.53,4.58%,10890.00,是
601162.SH,,2024-10-23,5.51,5.90,7.08%,17589.00,是
000595.SZ,,2024-10-24,10.10,9.99,-1.09%,-2893.00,否
002542.SZ,,2024-10-25,2.69,3.50,30.11%,79380.00,是
600696.SH,,2024-10-28,14.99,17.85,19.08%,65208.00,是
000701.SZ,,2024-10-30,5.35,5.29,-1.12%,-4578.00,否
600353.SH,,2024-10-31,9.68,10.18,5.17%,20800.00,是
002044.SZ,,2024-11-01,4.80,4.71,-1.87%,-7956.00,否
002568.SZ,,2024-11-04,24.15,25.71,6.46%,26832.00,是
603019.SH,,2024-11-05,68.06,70.54,3.64%,16120.00,是
002897.SZ,,2024-11-06,47.53,47.17,-0.76%,-3456.00,否
603489.SH,,2024-11-07,26.88,24.66,-8.26%,-37518.00,否
002474.SZ,,2024-11-08,7.11,7.50,5.49%,22932.00,是
002992.SZ,,2024-11-11,65.43,73.20,11.88%,52059.00,是
603009.SH,,2024-11-12,31.52,30.24,-4.06%,-19968.00,否
000795.SZ,,2024-11-13,15.27,10.84,-29.01%,-137330.00,否
002779.SZ,,2024-11-14,55.51,58.61,5.58%,18600.00,是
603039.SH,,2024-11-18,58.50,56.00,-4.27%,-15000.00,否
002501.SZ,,2024-11-19,1.81,1.74,-3.87%,-13139.00,否
002095.SZ,,2024-11-20,16.81,21.46,27.66%,90210.00,是
002392.SZ,,2024-11-21,4.84,4.65,-3.93%,-16359.00,否
002713.SZ,,2024-11-22,4.78,4.58,-4.18%,-16740.00,否
603585.SH,,2024-11-25,13.73,14.11,2.77%,10602.00,是
003021.SZ,,2024-12-02,78.00,80.60,3.33%,13000.00,是
002933.SZ,,2024-12-03,39.13,38.48,-1.66%,-6760.00,否
603669.SH,,2024-12-04,7.50,8.45,12.67%,50730.00,是
000903.SZ,,2024-12-05,4.13,4.65,12.59%,56784.00,是
002135.SZ,,2024-12-06,5.23,4.98,-4.78%,-24275.00,否
002403.SZ,,2024-12-09,16.06,19.14,19.18%,92708.00,是
603015.SH,,2024-12-11,13.42,12.78,-4.77%,-27456.00,否
002547.SZ,,2024-12-12,6.54,6.45,-1.38%,-7551.00,否
605388.SH,,2024-12-13,8.21,7.56,-7.92%,-42835.00,否
002402.SZ,,2024-12-16,21.98,21.00,-4.46%,-22148.00,否
002529.SZ,,2024-12-17,10.35,9.59,-7.34%,-34960.00,否
002181.SZ,,2024-12-18,8.88,10.12,13.96%,61628.00,是
002899.SZ,,2024-12-19,23.60,25.48,7.97%,40044.00,是
603629.SH,,2024-12-20,19.57,20.30,3.73%,20221.00,是
002045.SZ,,2024-12-23,22.97,21.29,-7.31%,-41160.00,否
603759.SH,,2024-12-24,8.48,8.15,-3.89%,-20295.00,否
603719.SH,,2024-12-25,15.19,15.52,2.17%,10890.00,是
603711.SH,,2024-12-26,18.90,18.65,-1.32%,-6775.00,否
603236.SH,,2024-12-27,73.18,70.13,-4.17%,-21045.00,否
001258.SZ,,2024-12-30,8.50,7.96,-6.35%,-30780.00,否
603339.SH,,2024-12-31,13.22,12.20,-7.72%,-34986.00,否
600327.SH,,2025-01-03,5.91,5.10,-13.71%,-57429.00,否
002552.SZ,,2025-01-06,14.46,15.74,8.85%,32000.00,是
601226.SH,,2025-01-07,7.53,7.90,4.91%,19351.00,是
002484.SZ,,2025-01-08,19.31,22.22,15.07%,61983.00,是
003021.SZ,,2025-01-09,78.47,87.54,11.56%,54420.00,是
603089.SH,,2025-01-10,10.06,9.84,-2.19%,-11572.00,否
002265.SZ,,2025-01-13,31.65,31.70,0.16%,815.00,是
