date,stock_code,stock_name,strategy_name,daily_budget,daily_investment,daily_return,daily_ratio,daily_real_return_rate,daily_budget_return_rate,has_trade,base_budget_return,remaining_budget_return,base_budget_return_rate,remaining_budget_return_rate,base_budget,remaining_budget,trade_count
2024-09-06,600686.SH,未知,倒接力31,200000.0,192371.0,-11984.0,0.961855,-0.05992,-0.06229629206065363,True,-11984.0,0.0,-0.061496918345376655,0.0,194871.5532816769,5128.446718323103,3
2024-09-10,000516.SZ,未知,倒接力31,188016.0,182541.0,-13416.0,0.9708801378606076,-0.07135562930814399,-0.07349581737801371,True,-13416.0,0.0,-0.07323349981718785,0.0,183194.8498090388,4821.150190961198,3
2024-09-11,003015.SZ,未知,倒接力31,174600.0,169637.0,-5186.0,0.9715750286368843,-0.029702176403207332,-0.030571160772708782,True,-5186.0,0.0,-0.03048385041635538,0.0,170122.86601490394,4477.133985096065,3
2024-09-13,002866.SZ,未知,倒接力31,169414.0,161643.0,-9543.0,0.9541301191164839,-0.056329465097335524,-0.059037508583730816,True,-9543.0,0.0,-0.057811891113644646,0.0,165069.84663831003,4344.153361689969,4
2024-09-25,002466.SZ,未知,倒接力31,159871.0,153721.0,35387.000000000015,0.9615314847595874,0.22134721118902123,0.23020276995335714,True,35387.000000000015,0.0,0.22717241943371297,0.0,155771.55047347484,4099.449526525161,3
2024-09-27,600239.SH,未知,倒接力31,195258.0,189991.0,24609.0,0.973025433016829,0.12603324831761054,0.12952718812996405,True,24609.0,0.0,0.12935007310732102,0.0,190251.14875336832,5006.851246631675,3
2024-09-30,002050.SZ,未知,倒接力31,219867.0,209847.0,24296.0,0.9544269945012211,0.11050316782418462,0.11577959179783366,True,24296.0,0.0,0.11341128652518917,0.0,214229.11902691226,5637.88097308774,3
2024-10-09,002119.SZ,未知,倒接力31,244163.0,237659.0,4366.0,0.9733620573141712,0.017881497196544933,0.018370859088021073,True,674.0,3692.0,0.0028330979701236612,0.5896930207867456,237902.11531957038,6260.884680429619,4
2024-10-11,603052.SH,未知,倒接力31,248529.0,235096.0,-5209.000000000007,0.9459499696212514,-0.020959324666336755,-0.02215690611494882,True,-5209.000000000007,0.0,-0.02151091250967874,0.0,242156.1613277094,6372.838672290614,3
2024-10-15,000801.SZ,未知,倒接力31,243320.0,235566.0,39121.99999999999,0.9681325004109814,0.16078415255630443,0.16607659849044426,True,39121.99999999999,0.0,0.16501551904181636,0.0,237080.7317224881,6239.268277511903,3
2024-10-16,002630.SZ,未知,倒接力31,282442.0,274554.0,21586.0,0.9720721422451335,0.07642631053455223,0.0786220561346766,True,21586.0,0.0,0.07843762647499596,0.0,275199.5562599169,7242.443740083079,3
