date,stock_code,stock_name,strategy_name,daily_budget,daily_investment,daily_return,daily_ratio,daily_real_return_rate,daily_budget_return_rate,has_trade,base_budget_return,remaining_budget_return,base_budget_return_rate,remaining_budget_return_rate,base_budget,remaining_budget,trade_count
2024-09-06,600686.SH,未知,倒接力31,200000.0,196595.0,-12077.0,0.982975,-0.060385,-0.06143086039828073,True,-12077.0,0.0,-0.06095283699556746,0.0,198136.7987986884,1863.2012013116037,3
2024-09-10,000516.SZ,未知,倒接力31,187923.0,185726.0,-12993.000000000015,0.9883090414691124,-0.06914002011462149,-0.06995789496354853,True,-12984.000000000015,-8.999999999999943,-0.0697418435926916,-0.005140824910816808,186172.3082032296,1750.6917967704067,4
2024-09-11,003015.SZ,未知,倒接力31,174930.0,171000.0,-3875.0,0.9775338706911336,-0.022151717829989138,-0.02266081871345029,True,-3875.0,0.0,-0.0223600239473898,0.0,173300.35106927282,1629.648930727184,3
2024-09-13,002866.SZ,未知,倒接力31,171055.0,168356.0,-11056.0,0.984221449241472,-0.0646341819882494,-0.06567036517855021,True,-11056.0,0.0,-0.0652419766344557,0.0,169461.4505925482,1593.549407451792,3
2024-09-25,002466.SZ,未知,倒接力31,159999.0,156519.0,36091.000000000015,0.9782498640616504,0.22557015981349893,0.23058542413381133,True,36091.000000000015,0.0,0.2276913336453805,0.0,158508.44835495672,1490.551645043277,3
2024-09-27,600239.SH,未知,倒接力31,196090.0,193787.0,23133.0,0.9882553929318171,0.11797133969095823,0.11937333257648862,True,23133.0,0.0,0.11908069617175947,0.0,194263.22438217403,1826.7756178259733,3
2024-09-30,002050.SZ,未知,倒接力31,219223.0,215998.0,25864.0,0.9852889523453288,0.11798032140788148,0.11974184946156909,True,25864.0,0.0,0.11908976234924662,0.0,217180.71721522434,2042.2827847756562,3
2024-10-09,002119.SZ,未知,倒接力31,245087.0,243376.0,5564.0,0.9930188055670027,0.022702142504498403,0.02286174478995464,True,5516.0,48.0,0.02271793409394327,0.02102283112452172,242803.76803587071,2283.231964129285,4
2024-10-11,603052.SH,未知,倒接力31,250651.0,245388.0,-8203.000000000007,0.9790026770290164,-0.03272677946626986,-0.03342869251960164,True,-8203.000000000007,0.0,-0.033034529340025355,0.0,248315.9337784502,2335.066221549787,3
2024-10-15,000801.SZ,未知,倒接力31,242448.0,239147.0,37908.99999999999,0.9863847092984888,0.1563593017884247,0.15851756451053114,True,37908.99999999999,0.0,0.15782964369712,0.0,240189.35297572202,2258.647024277976,3
2024-10-16,002630.SZ,未知,倒接力31,280357.0,277472.0,25368.0,0.9897095488965855,0.09048463209408004,0.09142544112559105,True,25368.0,0.0,0.09133551429385366,0.0,277745.1925040194,2611.8074959805817,3
2024-10-17,000402.SZ,未知,倒接力31,305725.0,305247.0,-26630.999999999993,0.9984365033935727,-0.08710769482377952,-0.08724410067912212,True,-18787.999999999993,-7843.0,-0.06203180971938475,-2.753730922702218,302876.8640636451,2848.1359363549273,4
2024-10-18,002625.SZ,未知,倒接力31,279094.0,270226.0,37602.0,0.9682257590632547,0.1347288010491089,0.1391501928015809,True,37602.0,0.0,0.1359957381626989,0.0,276493.9586196057,2600.0413803943084,3
2024-10-21,600418.SH,未知,倒接力31,316696.0,310266.0,9144.0,0.9796966175764771,0.028873114911460832,0.029471485757382374,True,9144.0,0.0,0.0291446264263072,0.0,313745.6581617471,2950.3418382529053,3
2024-10-22,600100.SH,未知,倒接力31,325840.0,323755.0,8056.0,0.9936011539405843,0.02472379081757918,0.0248830133897546,True,7938.0,118.0,0.024590737346340527,0.03887298138364446,322804.4726028231,3035.527397176891,5
2024-10-23,601162.SH,未知,倒接力31,333896.0,332177.0,23943.0,0.9948516903466947,0.07170795696863694,0.07207904219738272,True,15249.0,8694.0,0.046099371212394956,2.794979710943276,330785.4228584343,3110.577141565678,4
2024-10-24,000595.SZ,未知,倒接力31,357839.0,353966.0,-15436.00000000003,0.9891766967826313,-0.04313671790945098,-0.04360870818101182,True,-15446.00000000003,9.999999999999886,-0.04357056710286612,0.0029997327777620095,354505.3697266193,3333.6302733807242,4
2024-10-25,002542.SZ,未知,倒接力31,342403.0,338923.0,242179.0,0.9898365376471585,0.7072922842381638,0.7145546333532985,True,242179.0,0.0,0.7139433851021175,0.0,339213.1715953365,3189.82840466348,3
2024-10-28,600696.SH,未知,倒接力31,584582.0,577471.0,73276.99999999994,0.9878357527258793,0.1253493949522906,0.12689295220019697,True,73276.99999999994,0.0,0.1265281317880264,0.0,579136.0305766743,5445.969423325732,3
