date,stock_code,stock_name,strategy_name,daily_budget,daily_investment,daily_return,daily_ratio,daily_real_return_rate,daily_budget_return_rate,has_trade,base_budget_return,remaining_budget_return,base_budget_return_rate,remaining_budget_return_rate,base_budget,remaining_budget,trade_count
2024-09-06,600686.SH,未知,倒接力31,200000.0,196595.0,-12077.0,0.982975,-0.060385,-0.06143086039828073,True,-12077.0,0.0,-0.060820854162956794,0.0,198566.76079625907,1433.23920374093,3
2024-09-10,000516.SZ,未知,倒接力31,187923.0,185752.0,-13019.000000000015,0.9884473960079394,-0.06927837465344856,-0.07008807442180981,True,-13019.000000000015,0.0,-0.06977842049257396,0.0,186576.30694557694,1346.6930544230563,3
2024-09-11,003015.SZ,未知,倒接力31,174904.0,171000.0,-3875.0,0.9776791840095138,-0.022155010748753604,-0.02266081871345029,True,-3875.0,0.0,-0.022314923867329358,0.0,173650.60365154446,1253.3963484555425,3
2024-09-13,002866.SZ,未知,倒接力31,171029.0,168356.0,-11056.0,0.9843710715726572,-0.0646440077413772,-0.06567036517855021,True,-11056.0,0.0,-0.06511060308598747,0.0,169803.37266111694,1225.6273388830596,3
2024-09-25,002466.SZ,未知,倒接力31,159973.0,156519.0,36091.000000000015,0.9784088564945335,0.22560682115106934,0.23058542413381133,True,36091.000000000015,0.0,0.22723523337579643,0.0,158826.60212429974,1146.3978757002624,3
2024-09-27,600239.SH,未知,倒接力31,196064.0,194302.0,23198.0,0.9910131385669986,0.11831850824220663,0.1193914627744439,True,23198.0,0.0,0.11917252189414343,0.0,194658.9669437887,1405.0330562113086,3
2024-09-30,002050.SZ,未知,倒接力31,219262.0,215998.0,25864.0,0.9851136995922686,0.11795933631910682,0.11974184946156909,True,25864.0,0.0,0.11881075749645723,0.0,217690.72552854675,1571.2744714532455,3
2024-10-09,002119.SZ,未知,倒接力31,245126.0,242041.0,5516.0,0.987414635738355,0.02250271289051345,0.02278952739411918,True,5516.0,0.0,0.022665135695699373,0.0,243369.379034719,1756.6209652810066,3
2024-10-11,603052.SH,未知,倒接力31,250642.0,245388.0,-8203.000000000007,0.9790378308503762,-0.03272795461255499,-0.03342869251960164,True,-8203.000000000007,0.0,-0.032964182405267474,0.0,248845.8502974798,1796.149702520197,3
2024-10-15,000801.SZ,未知,倒接力31,242439.0,240170.0,38069.99999999999,0.9906409447324894,0.1570291908480071,0.15851272015655574,True,38069.99999999999,0.0,0.1581626151510102,0.0,240701.63460342123,1737.365396578767,3
2024-10-16,002630.SZ,未知,倒接力31,280509.0,277776.0,25399.0,0.9902569971016972,0.0905461143849217,0.09143698519670526,True,25399.0,0.0,0.09119966909046497,0.0,278498.81752098916,2010.1824790108367,3
2024-10-17,000402.SZ,未知,倒接力31,305908.0,304258.0,-26577.999999999993,0.994606221478353,-0.0868823306353544,-0.08735349604611874,True,-18826.999999999993,-7751.0,-0.061988871816749676,-3.535722879877624,303715.8033083101,2192.1966916898964,4
2024-10-18,002625.SZ,未知,倒接力31,279330.0,270226.0,37602.0,0.9674077256291841,0.13461497153903984,0.1391501928015809,True,37602.0,0.0,0.13558661177654255,0.0,277328.2664660952,2001.7335339047713,3
2024-10-21,600418.SH,未知,倒接力31,316932.0,310266.0,9144.0,0.9789670970428987,0.02885161485744576,0.029471485757382374,True,9144.0,0.0,0.02905986353582026,0.0,314660.80316339986,2271.1968366001383,3
2024-10-22,600100.SH,未知,倒接力31,326076.0,323799.0,8012.0,0.9930169653700365,0.024570958917552965,0.024743745348194405,True,7975.0,37.0,0.024634020659049762,0.015834129987318,323739.27546700486,2336.72453299514,4
2024-10-23,601162.SH,未知,倒接力31,334088.0,331643.0,23897.0,0.9926815689279471,0.07152905821220756,0.07205639799422874,True,15295.0,8602.0,0.046111797198789085,3.592939283786671,331693.859904503,2394.140095497016,4
2024-10-24,000595.SZ,未知,倒接力31,357985.0,354980.0,-15480.00000000003,0.9916057935388354,-0.04324203528080794,-0.043608090596653416,True,-15490.00000000003,9.999999999999886,-0.04358228863543156,0.003898041756803625,355419.609318244,2565.39068175602,4
