date,stock_code,stock_name,strategy_name,daily_budget,daily_investment,daily_return,daily_ratio,daily_real_return_rate,daily_budget_return_rate,has_trade,base_budget_return,remaining_budget_return,base_budget_return_rate,remaining_budget_return_rate,base_budget,remaining_budget,trade_count
2024-09-06,600686.SH,未知,倒接力31,200000.0,196595.0,-12077.0,0.982975,-0.060385,-0.06143086039828073,True,-12077.0,0.0,-0.060942617487790514,0.0,198170.02448934122,1829.9755106587836,3
2024-09-10,000516.SZ,未知,倒接力31,187923.0,185726.0,-12993.000000000015,0.9883090414691124,-0.06914002011462149,-0.06995789496354853,True,-12984.000000000015,-8.999999999999943,-0.06973015049770037,-0.0052341635687345065,186203.52756055235,1719.4724394476507,4
2024-09-11,003015.SZ,未知,倒接力31,174930.0,171000.0,-3875.0,0.9775338706911336,-0.022151717829989138,-0.02266081871345029,True,-3875.0,0.0,-0.022356275008868044,0.0,173329.4119196023,1600.5880803976906,3
2024-09-13,002866.SZ,未知,倒接力31,171055.0,168356.0,-11056.0,0.984221449241472,-0.0646341819882494,-0.06567036517855021,True,-11056.0,0.0,-0.06523103799861094,0.0,169489.86769512133,1565.1323048786726,3
2024-09-25,002466.SZ,未知,倒接力31,159999.0,156519.0,36091.000000000015,0.9782498640616504,0.22557015981349893,0.23058542413381133,True,36091.000000000015,0.0,0.2276531583369022,0.0,158535.02874135054,1463.971258649457,3
2024-09-27,600239.SH,未知,倒接力31,196090.0,193787.0,23133.0,0.9882553929318171,0.11797133969095823,0.11937333257648862,True,23133.0,0.0,0.11906073079917638,0.0,194295.8005105746,1794.1994894254021,3
2024-09-30,002050.SZ,未知,倒接力31,219223.0,215998.0,25864.0,0.9852889523453288,0.11798032140788148,0.11974184946156909,True,25864.0,0.0,0.11906979545660516,0.0,217217.13639313425,2005.8636068657506,3
2024-10-09,002119.SZ,未知,倒接力31,245087.0,243376.0,5564.0,0.9930188055670027,0.022702142504498403,0.02286174478995464,True,5516.0,48.0,0.022714125147295452,0.02140452917431603,242844.48396009585,2242.516039904149,4
2024-10-11,603052.SH,未知,倒接力31,250651.0,245388.0,-8203.000000000007,0.9790026770290164,-0.03272677946626986,-0.03342869251960164,True,-8203.000000000007,0.0,-0.03302899068676263,0.0,248357.57404138934,2293.4259586106637,3
2024-10-15,000801.SZ,未知,倒接力31,242448.0,239147.0,37908.99999999999,0.9863847092984888,0.1563593017884247,0.15851756451053114,True,37908.99999999999,0.0,0.1578031815773779,0.0,240229.630486959,2218.3695130409906,3
2024-10-16,002630.SZ,未知,倒接力31,280357.0,277472.0,25368.0,0.9897095488965855,0.09048463209408004,0.09142544112559105,True,25368.0,0.0,0.0913202007490763,0.0,277791.7677787912,2565.232221208804,3
2024-10-17,000402.SZ,未知,倒接力31,305725.0,305247.0,-26630.999999999993,0.9984365033935727,-0.08710769482377952,-0.08724410067912212,True,-18787.999999999993,-7843.0,-0.062021409308294924,-2.803728647396284,302927.65368501924,2797.346314980765,4
2024-10-18,002625.SZ,未知,倒接力31,279094.0,270226.0,37602.0,0.9682257590632547,0.1347288010491089,0.1391501928015809,True,37602.0,0.0,0.13597293677112648,0.0,276540.324074141,2553.6759258590173,3
2024-10-21,600418.SH,未知,倒接力31,316696.0,310266.0,9144.0,0.9796966175764771,0.028873114911460832,0.029471485757382374,True,9144.0,0.0,0.029139739964066866,0.0,313798.27037838206,2897.7296216179384,3
2024-10-22,600100.SH,未知,倒接力31,325840.0,323755.0,8056.0,0.9936011539405843,0.02472379081757918,0.0248830133897546,True,7938.0,118.0,0.024586614400733085,0.03957877315336151,322858.6038980347,2981.396101965278,5
2024-10-23,601162.SH,未知,倒接力31,333896.0,332177.0,23943.0,0.9948516903466947,0.07170795696863694,0.07207904219738272,True,15249.0,8694.0,0.04609164207449361,2.8457263634070897,330840.8924844654,3055.107515534619,4
